Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
map.hungry.short,,В деревне неурожай. Требуется продовольствие,There is a poor harvest in the village. Food is needed.,There is a poor harvest in the village. Food is needed.,Ve vesnici byla mizerná sklizeň. Je zapotřebí jídlo.,A colheita está fraca na vila. Eles precisam de comida.,El pueblo ha tenido una mala cosecha. Se necesita comida.,Wioska miała słabe plony i potrzebuje żywności.,村里收成不好，亟需食物。,村莊今年農稼歉收，極需糧食。,村は不作に悩まされています。食料が必要だ。,마을의 작황이 안 좋습니다. 음식이 필요합니다.,Das Dorf hat eine äußerst schlechte Ernte eingefahren. Es wird dringend Nahrung benötigt.,La récolte du village est mauvaise. La nourriture manque.,Il raccolto del villaggio è scarso. C'è bisogno di cibo.,Köyün hasadı kötü. Gıda gerekiyor.,Rossz volt a termés a faluban. Élelemre van szükség.,У селі неврожай. Потрібна їжа.,Mùa màng kém trong làng. Thực phẩm đang cần thiết.
map.sick,,Мор,Pestilence,Pestilence,Mor,Peste,Peste,Zaraza,瘟疫,瘟疫肆虐,疫病,역병,Seuche,Fléau,Pestilenza,Veba,Dögvész,Мор,Dịch bệnh
map.sick.short,,Вспышка болезни. Срочно нужны медикаменты,An outbreak of disease. Medicines are urgently needed.,An outbreak of disease. Medicines are urgently needed.,Propuknutí nemoci. Jsou naléhavě zapotřebí léky.,Há um surto de doença. Eles precisam de medicamentos com urgência.,Un brote de enfermedad. Se necesitan medicinas con urgencia.,Epidemia zarazy. Pilna potrzeba lekarstw.,疾病暴发，亟需药品。,傳染病爆發，極需藥品。,疫病の発生。医薬品が緊急に必要とされています。,질병이 발발했습니다. 약이 시급하게 필요합니다.,Eine Krankheit ist ausgebrochen. Es wird dringend Medizin benötigt.,Une épidémie fait des ravages. Il faut trouver des médicaments de toute urgence.,È scoppiata un'epidemia. Servono urgentemente medicinali.,Hastalık patlak verdi. Acil ilaç gerekiyor.,Járvány tört ki. Sürgős szükség van gyógyszerekre.,Спалах хвороби. Терміново потрібні ліки.,Bùng phát dịch bệnh. Cần thuốc gấp.
map.meat,,Новый свинарник,New pigsty,New pigsty,Nový chlév,Chiqueiro novo,Nueva pocilga,Nowy chlew,新猪圈,新豬圈,新しい豚舎,새 돼지우리,Neuer Schweinestall,Nouvelle porcherie,Nuovo porcile,Yeni domuz ağılı,Új disznóól,Новий свинарник,Chuồng lợn mới
map.meat.short,,Жители просят помощи с постройкой свинарника,The residents are asking for help to build a pigsty.,The residents are asking for help to build a pigsty.,Obyvatelé žádají o pomoc s postavením chléva.,Os moradores estão pedindo ajuda para construir um chiqueiro.,Los residentes solicitan ayuda para construir una pocilga.,Mieszkańcy proszą o pomoc z budową chlewu.,居民请求帮助建造一个猪圈。,村民想請你幫忙蓋個新豬圈。,住民たちは豚小屋を建てるための支援を求めています。,거주민들이 새로운 돼지우리를 짓는 것을 도와달라고 요청합니다.,Die Bewohner bitten um Hilfe beim Bau eines Schweinestalls.,La population a besoin d'aide pour construire une porcherie.,Gli abitanti chiedono aiuto con la costruzione di un porcile.,Sakinler domuz ağılı inşası için yardım istiyor.,A lakók segítséget kérnek egy disznóól felépítéséhez.,Жителі просять допомогти збудувати новий свинарник.,Cư dân yêu cầu giúp đỡ để xây dựng một chuồng lợn.
map.bandits_camp,,Лагерь лесных бандитов,Camp of forest bandits,Camp of forest bandits,Tábor lesních zbojníků,Acampamento de bandidos da floresta,Campamento de bandidos del bosque,Obóz leśnych bandytów,森林强盗营地,林中劫匪營地,森の盗賊の野営地,숲속 도적단 진영,Waldbanditen-Lager,Camp des bandits de la forêt,Accampamento fuorilegge foreste,Orman haydutları kampı,Erdei banditák tábora,Табір лісових розбійників,Trại cướp rừng
map.bandits_camp.short,,Обиталище лесных бандитов. Время от времени они будут нападать на ваше поселение.,Inhabited by forest bandits. They will occasionally attack your settlement.,Inhabited by forest bandits. They will occasionally attack your settlement.,Zde sídlí lesní zbojníci. Občas zaútočí na tvou osadu.,Habitado por bandidos da floresta. Eles atacarão sua cidade de vez em quando.,"Habitado por bandidos del bosque. De vez en cuando, atacarán tu asentamiento.","Mieszkają tutaj leśni bandyci, którzy czasem atakują twoją osadę.",由森林强盗居住，他们会偶尔攻击你的聚落。,由林中劫匪所盤踞，偶爾會騷擾你的領地。,森の盗賊が暮らしています。時折、あなたの集落を襲撃することがあります。,숲속 도적단이 거주하는 곳입니다. 종종 정착지를 공격합니다.,Von Waldbanditen bewohnt. Sie werden deine Siedlung von Zeit zu Zeit angreifen.,C'est là qu'habitent les bandits de la forêt. Ils attaqueront parfois votre cité.,Abitato dai fuorilegge delle foreste. Talvolta attaccheranno il tuo insediamento.,Burada orman haydutları yaşıyor. Ara sıra yerleşkene saldıracaklar.,Erdei banditák lakják. Időnként a településedre támadnak.,Помешкання лісових розбійників. Вони іноді нападатимуть на ваше поселення.,Nơi ở của những tên cướp rừng. Chúng thỉnh thoảng sẽ tấn công khu định cư của ngài.
map.bandits_hostage,,Заложник - {lord_name},Hostage - {lord_name},Hostage - {lord_name},Rukojmí – {lord_name},Refém - {lord_name},Rehén - {lord_name},Zakładnik – {lord_name},人质 - {lord_name},俘虜：{lord_name},人質 - {lord_name},인질 - {lord_name},Geisel – {lord_name},Otage : {lord_name},Ostaggio - {lord_name},Esir - {lord_name},Túsz – {lord_name},Заручник – {lord_name},Con tin - {lord_name}
map.bandits_hostage.short,,Лорда держат в заложниках и просят за него выкуп,A lord is held hostage and a ransom is demanded.,A lord is held hostage and a ransom is demanded.,Lord je držen jako rukojmí a požaduje se za něj výkupné.,Um nobre foi capturado como refém e um valor de resgate é exigido.,Tienen a un señor como rehén y exigen un rescate.,"Lord jest zakładnikiem bandytów, którzy żądają okupu.",有人将一位领主扣为人质并要求支付赎金。,有貴族遭到俘虜，勒索你付贖金。,領主が人質に取られて、身代金を要求されています。,영주가 인질로 잡혔습니다. 몸값을 요구합니다.,Ein Lord wird als Geisel gehalten und es wurde ein Lösegeld gefordert.,Un seigneur ou une dame est désormais otage et une rançon est demandée.,Un nobile è tenuto in ostaggio ed è richiesto un riscatto.,Bir asilzade esir tutuluyor ve fidye isteniyor.,"Elraboltak egy nemest, és váltságdíjat követelnek érte.",Вельможу тримають в заручниках і вимагають викуп.,Một lãnh chúa bị bắt làm con tin và yêu cầu tiền chuộc.
map.wolfes,,Стая плотоволков,Fleshwolves near,Fleshwolves near,Hladoví vlci v okolí,Lobos-sangrentos próximos,Lobos devoradores cerca,Żerwilki,附近有饿狼,附近有食肉狼,人喰いオオカミとの遭遇,인근의 살육늑대,Säbelzahnwölfe in der Nähe,Loups à proximité,Lupi nelle vicinanze,Yakındaki etbörüler,Húsfarkasok a közelben,Плотожери близько,Có những con sói đói gần đó
map.wolfes.short,,"Стая плотоволков блокировала дороги к вашему поселению. Впрочем, скоро они могут уйти.","A pack of fleshwolves has blocked the roads to your settlement. However, they may soon leave.","A pack of fleshwolves has blocked the roads to your settlement. However, they may soon leave.",Smečka hladových vlků blokuje cesty do tvé osady. Brzo však může odejít.,Uma alcateia de lobos-sangrentos bloqueou os caminhos para sua cidade. Talvez eles saiam em breve.,"Una manada de lobos devoradores ha bloqueado los caminos a tu asentamiento. No obstante, no tardarán en irse.","Wataha żerwilków blokuje drogi do twojego miasta. Jednak możliwe, że wkrótce odejdzie.",一群饿狼挡住了通往你聚落的道路。不过，它们可能很快就会离开。,有一群食肉狼盤踞在通往你領地的路上。不過，牠們可能很快就會自己離開。,人喰いオオカミの群れがあなたの集落へと続く道に立ちふさがっています。だが、ほどなく立ち去るかもしれません。,살육늑대 무리가 정착지로 가는 도로를 막았습니다. 하지만 곧 떠날 수도 있습니다.,"Ein Rudel Säbelzahnwölfe blockiert die Straßen, die zu deiner Siedlung führen. Die Wölfe könnten allerdings bald abziehen.","Une meute de loups a bloqué les routes menant à votre cité. Cependant, elle devrait s'en aller rapidement.",Un branco di lupi ha bloccato la strada verso il tuo insediamento. Potrebbero andarsene presto.,Etbörü sürüsü yerleşkene giden yolu kapattı. Bir süre sonra çekilebilirler.,Egy húsfarkasfalka elállta a településedhez vezető utakat. De talán hamarosan továbbállnak.,"Зграя плотожерів перекрила шляхи до вашого поселення. Можливо, вони скоро підуть.","Một bầy sói thịt đã chặn đường tới khu định cư của ngài. Tuy nhiên, chúng có thể sớm rời đi."
map.slaves,,Беглые пленники,Fugitive prisoners,Fugitive prisoners,Uprchlí vězni,Prisioneiros fugitivos,Prisioneros fugitivos,Zbiegli jeńcy,逃犯,逃亡囚犯群,逃亡中の囚人,도망 중인 수감자,Flüchtige Sklaven,Esclaves en fuite,Prigionieri fuggitivi,Kaçak mahkûmlar,Szökevény foglyok,В'язні-втікачі,Tù nhân bỏ trốn
map.slaves.short,,"Группа беглых пленников из поселения {city_name} была замечена неподалеку от вашего города. ",A group of runaway prisoners from {city_name} has been spotted near your town.,A group of runaway prisoners from {city_name} has been spotted near your town.,Poblíž tvého města byla spatřena skupina uprchlých vězňů z města {city_name}.,Um grupo de prisioneiros fugitivos de {city_name} foi avistado perto de sua cidade.,Se ha visto a un grupo de prisioneros a la fuga de {city_name} cerca de tu ciudad.,"W pobliżu znajduje się grupa jeńców, która uciekła z miasta {city_name}.",一群从{city_name}逃跑的囚犯在你的城镇附近被发现。,你的城鎮附近有一群從{city_name}出逃的囚犯。,{city_name}から逃げてきた囚人の集団があなたの街の近くで目撃されました。,{city_name}에서 도망친 수감자 무리가 당신의 도시 인근에서 목격되었습니다.,Eine Gruppe von entflohenen Sklaven aus {city_name} wurde in der Nähe deiner Stadt gesichtet.,Un groupe d'esclaves qui s'est échappé de la cité {city_name} a été repéré près de chez vous.,Un gruppo di prigionieri fuggiti da {city_name} è stato avvistato nei pressi della tua città.,{city_name} şehrinden bir grup kaçak mahkûm kasabanın yakınlarında görüldü.,Egy csapat {city_name} városából szökött foglyot láttak a városod közelében.,"Біля вашого поселення помітили групу в'язнів, які втекли з міста {city_name}.",Một nhóm tù nhân trốn chạy từ {city_name} đã được phát hiện gần thị trấn của ngài.
map.fanatics,,Группа флагелянтов,Group of flagellants,Group of flagellants,Skupina sebemrskačů,Grupo de flagelantes,Grupo de flagelantes,Biczownicy,鞭笞者队伍,朝聖團,鞭打ち苦行者の集団,고행자 무리,Gruppe von Flagellanten,Groupe de fanatiques,Gruppo di flagellanti,Cilysler grubu,Flagellánsok csoportja,Група флагелантів,Nhóm người hành hương
map.fanatics.short,,Небольшая группа паломников-флагеллянтов просит еды,A small group of flagellant pilgrims is asking for food.,A small group of flagellant pilgrims is asking for food.,Skupinka poutnických sebemrskačů žádá o jídlo.,Um grupo pequeno de peregrinos flagelantes está pedindo comida.,Un pequeño grupo de peregrinos flagelantes pide comida.,Niewielka grupa pielgrzymów-biczowników prosi o żywność.,一小队鞭笞苦行者请求食物。,有一群苦行朝聖者想索討糧食。,鞭打ち苦行巡礼者の小さな集団が食べ物を求めています。,고행 중인 소규모의 순례자 무리가 음식을 요청합니다.,Eine kleine Gruppe von Flagellanten-Pilgern bittet um Nahrung.,Un petit groupe de fanatiques en pèlerinage demande de la nourriture.,Un piccolo gruppo di pellegrini flagellanti chiede del cibo.,Küçük bir Cilys seyyah grubu yiyecek istiyor.,Flagelláns zarándokok egy kisebb csoportja élelmet kér.,Маленька група паломників-флагелантів просить їжі.,Một nhóm nhỏ những người hành hương đang xin thức ăn.
map.theif,,Вор в бегах,Thief on the run,Thief on the run,Zloděj na útěku,Ladrão em fuga,Ladrón a la fuga,Zbiegły złodziej,在逃窃贼,在逃竊賊,逃亡中の泥棒,도망 중인 도둑,Dieb auf der Flucht,Voleur en fuite,Ladro in fuga,Kaçan hırsız,Menekülő tolvaj,Злодій-утікач,Tên trộm đang chạy trốn
map.theif.short,,"Недалеко был замечен вор, который недавно поработал в городе {city_name}","A thief has been spotted nearby, who recently worked in {city_name} town.","A thief has been spotted nearby, who recently worked in {city_name} town.","Poblíž byl spatřen zloděj, který nedávno pracoval ve městě {city_name}.","Um ladrão, que trabalhou recentemente na cidade de {city_name}, foi visto nas proximidades.","Han visto a un ladrón por las inmediaciones, que actuó hace poco en {city_name}.","W pobliżu dostrzeżono złodzieja, który niedawno kradł w mieście {city_name}.",附近发现了一个窃贼，他最近在{city_name}城镇活动。,附近有一名曾在{city_name}鎮犯案的竊賊出沒。,最近{city_name}の街で盗みを働いていた泥棒が近くで目撃されています。,최근 {city_name}에서 활동했던 도둑이 근처에서 목격되었습니다.,"Ein Dieb, der kürzlich in der Stadt {city_name} arbeitete, wurde in der Nähe gesichtet.",Un voleur qui était à l'œuvre à {city_name} a été repéré à proximité.,"Un ladro, recentemente attivo a {city_name}, è stato avvistato nelle vicinanze.",Bu civarlarda yakın zamanda {city_name} kasabasında faaliyet göstermiş bir hırsız görülmüş.,"Egy tolvajt láttak a közelben, aki nemrég még {city_name} városában tevékenykedett.","Неподалік бачили злодія, який недавно працював у місті {city_name}.","Một tên trộm đã bị phát hiện gần đây, người đã từng làm việc ở thị trấn {city_name}."
map.lord_in_run,,Бежавший лорд,Fleeing lord,Fleeing lord,Prchající lord,Nobre em fuga,Señor fugitivo,Zbiegły lord,逃亡的领主,在逃貴族,逃亡中の領主,도망 중인 영주,Flüchtiger Lord,Noble en fuite,Nobile in fuga,Kaçan asilzade,Menekülő nemes,Вельможа-утікач,Lãnh chúa bỏ trốn
map.lord_in_run.short,,Лорд из дома {house_name_1} сбежал из плена дома {house_name_2}. Преследователи уже близко,A lord from {house_name_1} has escaped captivity from {house_name_2}. Pursuers are close.,A lord from {house_name_1} has escaped captivity from {house_name_2}. Pursuers are close.,Lord z rodu {house_name_1} utekl ze zajetí ve městě {house_name_2}. Pronásledovatelé jsou nablízku.,Um nobre da casa {house_name_1} escapou do cativeiro da casa {house_name_2}. Os perseguidores estão próximos.,Un señor de {house_name_1} ha escapado de su cautiverio de {house_name_2}. Sus perseguidores se acercan.,Lord z rodu {house_name_1} uciekł z niewoli rodu {house_name_2}. Pościg depcze mu po piętach.,来自{house_name_1}的领主从{house_name_2}逃脱了。追兵就在附近。,一名來自{house_name_1}的貴族逃離了{house_name_2}的囚禁。追兵即將抵達。,{house_name_2}で囚われの身となっていた{house_name_1}の領主が逃げ出しました。追っ手が迫っています。,{house_name_1} 영주가 {house_name_2}의 억류에서 탈출했습니다. 추적자들이 가까이 있습니다.,Ein Lord von {house_name_1} ist aus der Gefangenschaft von {house_name_2} entflohen. Die Verfolger sind bereits in der Nähe.,Un noble de la maison {house_name_1} a échappé aux griffes de la maison {house_name_2}. Un groupe est sur ses talons.,Un nobile di {house_name_1} è sfuggito alla prigionia di {house_name_2}. Gli inseguitori si avvicinano.,"{house_name_1} hanesinden bir asilzade, {house_name_2} hanesinin esaretinden kaçtı. Peşindekiler yakın.",A(z) {house_name_1} ház egyik nemese megszökött a(z) {house_name_2} ház fogságából. Az üldözők közel járnak.,Вельможа з дому {house_name_1} втік із полону дому {house_name_2}. Погоня близько.,Một lãnh chúa từ {house_name_1} đã thoát khỏi sự giam cầm của {house_name_2}. Những kẻ truy đuổi đang đến gần.
map.lord_in_run_2,,Бежавший лорд,Fleeing lord,Fleeing lord,Prchající lord,Nobre em fuga,Señor fugitivo,Zbiegły lord,逃亡的领主,在逃貴族,逃亡中の領主,도망 중인 영주,Flüchtiger Lord,Noble en fuite,Nobile in fuga,Kaçan asilzade,Menekülő nemes,Вельможа-утікач,Lãnh chúa bỏ trốn
maplord_in_run_2.short,,Лорд из дома {house_name_1} преследуется разбойниками. Его силы на исходе,The lord of {house_name_1} is pursued by bandits. His forces are running low.,The lord of {house_name_1} is pursued by bandits. His forces are running low.,Lorda z rodu {house_name_1} pronásledují zbojníci. Docházejí mu síly.,Bandidos estão perseguindo um nobre da casa {house_name_1}. Seu vigor está diminuindo.,Unos bandidos persiguen al señor de {house_name_1}. Sus fuerzas se agotan.,Lorda z rodu {house_name_1} ścigają bandyci. Jego eskorta słabnie.,{house_name_1}的领主被强盗追赶。他的军队力量正在减弱。,一名來自{house_name_1}的貴族正遭到劫匪追捕。其護衛已所剩無幾。,{house_name_1}の領主は盗賊に追われています。領主の戦力は残り少なくなっています。,{house_name_1} 영주가 도적들에게 쫓기고 있습니다. 영주의 병력이 고갈되고 있습니다.,Der Lord von {house_name_1} wird von Banditen verfolgt. Seine Kräfte sind bald erschöpft.,Un noble de la maison {house_name_1} est poursuivi par des bandits. Ses forces s'amenuisent.,Un nobile di {house_name_1} è in fuga dai fuorilegge. Le sue truppe scarseggiano.,{house_name_1} hanesi asilzadesini haydutlar kovalıyor. Birlikleri gittikçe azalıyor.,A(z) {house_name_1} ház egyik nemesét banditák üldözik. A seregei megcsappantak.,Вельможу з дому {house_name_1} переслідують розбійники. Він на межі виснаження.,Lãnh chúa của {house_name_1} đang bị cướp đuổi theo. Lực lượng của hắn đang cạn kiệt.
map.lord_in_run_3,,Ушедший лорд,Fleeing lord,Fleeing lord,Prchající lord,Nobre em fuga,Señor fugitivo,Zbiegły lord,逃亡的领主,在逃貴族,逃亡中の領主,도망 중인 영주,Flüchtiger Lord,Noble en fuite,Nobile in fuga,Kaçan asilzade,Menekülő nemes,Вельможа-утікач,Lãnh chúa bỏ trốn
map.lord_in_run_3.short,,Лорд из фракции {house_name_1} решил покинуть родной дом и просит пристанища,The lord of {house_name_1} faction has decided to leave home and seek refuge.,The lord of {house_name_1} faction has decided to leave home and seek refuge.,Lord z frakce {house_name_1} se rozhodl odejít z domova a vyhledat útočiště.,Um nobreza da facção {house_name_1} decidiu deixar sua casa e busca refúgio.,El señor de la facción {house_name_1} ha decidido irse de casa y buscar refugio.,Lord z frakcji {house_name_1} postanowił opuścić rodzinny dom i prosi o schronienie.,{house_name_1}派系的领主决定离家避难。,一名來自{house_name_1}的貴族決定離開家鄉，尋求庇護。,{house_name_1}派閥の領主は自国を離れ、避難することにしました。,{house_name_1} 진영의 영주가 고향을 떠나 피난처를 찾기로 했습니다.,"Der Lord aus dem Haus {house_name_1} hat sich dazu entschlossen, seine Heimat zu verlassen und das Weite zu suchen.",Un noble de la faction {house_name_1} a décidé de quitter sa province en quête d'un refuge.,Un nobile di {house_name_1} ha deciso di lasciare la sua casa e cercare rifugio altrove.,{house_name_1} hanesi asilzadesi evden ayrıldı ve sığınacak bir yer arıyor.,{house_name_1} város egyik nemese elhagyta az otthonát és menedéket keres.,Вельможа з дому {house_name_1} вирішує покинути батьківщину й шукати притулку.,Lãnh chúa của phe {house_name_1} đã quyết định rời nhà và tìm kiếm nơi ẩn náu.
map.lovers_in_run,,,,,,,,,,,,,,,,,,,
map.lovers_in_run.short,,Два молодых человека из разных домов влюбились друг в друга и сбежали,Two young men from different houses fell in love with each other and ran away.,Two young men from different houses fell in love with each other and ran away.,Dva mladí muži z různých rodů se do sebe zamilovali a utekli spolu.,Dois rapazes de casas diferentes se apaixonaram e fugiram.,Dos jóvenes de diferentes casas se han enamorado y se han fugado.,Dwoje młodych ludzi z różnych rodów zakochało się w sobie i uciekło.,两个来自不同家族的年轻人相爱并私奔了。,兩位出身自不同王室的少年陷入熱戀後私奔了。,家柄の異なる二人の男性が恋に落ち、駆け落ちしました。,서로 다른 가문의 두 청년이 사랑에 빠져 도망쳤습니다.,Zwei junge Männer aus verschiedenen Häusern haben sich ineinander verliebt und sind durchgebrannt.,Deux jeunes hommes de différentes maisons sont tombés amoureux et se sont enfuis.,Due giovani di casate diverse si sono innamorati e sono fuggiti.,Farklı hanelerden iki genç adam birbirine âşık oldu ve beraber kaçtı.,"Két különböző házból két fiatal egymásba szeretett, és elszöktek.",Двоє молодих людей із різних шляхетних родин закохалися й утекли разом.,Hai thanh niên từ hai gia đình khác nhau đã yêu nhau và bỏ trốn.
map.caravan,,Охраняемый караван,Protected caravan,Protected caravan,Chráněná karavana,Caravana protegida,Caravana protegida,Chroniona karawana,受保护的商队,受保護的商隊,警護付きのキャラバン,보호 상단,Geschützte Karawane,Caravane protégée,Carovana protetta,Korunan kervan,Védett karaván,Захищений караван,Đoàn xe được bảo vệ
map.caravan.short,,Караван дома {house_name_1} с пленниками и товарами следует в город {city_name_2},A caravan of {house_name_1} with prisoners and goods is on its way to {city_name_2}.,A caravan of {house_name_1} with prisoners and goods is on its way to {city_name_2}.,Karavana rodu {house_name_1} s vězni a zbožím je na cestě do města {city_name_2}.,Uma caravana da casa {house_name_1} com prisioneiros e produtos está a caminho de {city_name_2}.,Una caravana de {house_name_1} con prisioneros y mercancías va de camino a {city_name_2}.,"Karawana rodu {house_name_1}, przewożąca jeńców i towary, zmierza do miasta {city_name_2}.",一支携带囚犯和货物的{house_name_1}商队正前往{city_name_2}。,一支{house_name_1}的商隊正帶著囚犯和商品前往{city_name_2}。,囚人と商品を運ぶ{house_name_1}のキャラバンは{city_name_2}に向かっています。,수감자와 상품을 실은 {house_name_1} 상단이 {city_name_2}에 가는 중입니다.,Eine Karawane aus {house_name_1} mit Sklaven und Waren ist unterwegs nach {city_name_2}.,Une caravane de la maison {house_name_1} avec des esclaves et des biens se dirige vers {city_name_2}.,Una carovana di {house_name_1} carica di merci e prigionieri è diretta a {city_name_2}.,Mahkûm ve ürün dolu {house_name_1} kervanı {city_name_2} şehrine geliyor.,A(z) {house_name_1} ház karavánja foglyokkal és árukkal megrakodva úton van {city_name_2} városába.,Караван дому {house_name_1} із в'язнями й товарами на шляху до міста {city_name_2}.,Một đoàn xe của {house_name_1} với tù nhân và hàng hóa đang trên đường tới {city_name_2}.
map.dispute,,,,,,,,,,,,,,,,,,,
map.dispute.short,,Два дома спорят из-за принадлежности деревни. Вы можете поддержать кого-то из них,Two houses are arguing over ownership of the village. You can support one of them.,Two houses are arguing over ownership of the village. You can support one of them.,Dva rody se hádají o vlastnictví vesnice. Můžeš jednoho z nich podpořit.,Duas casas discutem sobre o direito de posse da vila. Você pode apoiar uma delas.,Dos casas se disputan la propiedad del pueblo. Puedes apoyar a una de ellas.,Dwa rody prowadzą zatarg o wioskę. Możesz wesprzeć jedną ze stron.,两个家族在争夺村庄的所有权。你可以支持其中一方。,兩支王室正為一座村莊的歸屬權吵得不可開交。你可以自行選邊站。,2つの貴族が村の所有権をめぐって争っています。どちらかの家の側につくことができます。,두 가문이 마을의 소유권을 놓고 다투고 있습니다. 둘 중 한 명을 지지할 수 있습니다.,Zwei Häuser streiten um die Herrschaft über das Dorf. Du kannst für eines von ihnen Partei ergreifen.,Deux maisons se disputent le contrôle du village. Vous pouvez apporter votre soutien à l'une d'elles.,Due casate si contendono la proprietà del villaggio. Puoi dare il tuo sostegno a una delle due.,İki hane bu köyün mülkiyeti üzerine tartışıyor. Birini destekleyebilirsin.,Két nemesi ház vitázik a falu tulajdonjogán. Támogathatod valamelyiküket.,"Дві благородні родини сперечаються про те, кому належить село. Ви можете стати на чийсь бік.",Hai gia đình đang tranh cãi về quyền sở hữu ngôi làng. Ngài có thể ủng hộ một trong số họ.
map.bride,,Невеста ищет партию,A bride is looking for a match.,A bride is looking for a match.,Nevěsta hledá partnera,Uma noiva busca um pretendente,Hay una mujer buscando pareja,Panna szuka małżonka,新娘正在寻找配偶。,有新娘正在等待提親。,花嫁は結婚相手を探しています。,신부가 짝을 찾고 있습니다.,Eine Braut sucht nach Heiratswilligen.,Une jeune femme est en quête d'un époux.,Una giovane è in cerca di marito.,Bir gelin kendine eş arıyor.,Egy ara a párját keresi.,Наречена шукає пару.,Cô dâu đang tìm chồng.
map.bride.short,,{soul_uuid_bride} достигла возраста замужества и король ищет ей подходящую партию.,"{soul_uuid_bride} has reached the age of marriage, and the king is looking for a suitable partner for her.","{soul_uuid_bride} has reached the age of marriage, and the king is looking for a suitable partner for her.",{soul_uuid_bride} je nyní plnoletá a král pro ni hledá vhodného partnera.,{soul_uuid_bride} está na idade de se casar. O rei está buscando alguém adequado para ela.,"{soul_uuid_bride} ya está en edad casadera, y el monarca está buscando una pareja adecuada para ella.",{soul_uuid_bride} osiągnęła wiek ślubny i król szuka dla niej odpowiedniego partnera.,{soul_uuid_bride}已经到了适婚年龄，君王正在为她寻找合适的伴侣。,{soul_uuid_bride}已達適婚年齡，君王正在替她物色適合的丈夫。,{soul_uuid_bride}は結婚適齢期を迎え、王は彼女にふさわしい相手を探しています。,{soul_uuid_bride}이(가) 결혼할 나이가 되었습니다. 왕이 적절한 파트너를 찾고 있습니다.,{soul_uuid_bride} hat das heiratsfähige Alter erreicht und der König ist auf der Suche nach einem passenden Gemahl für sie.,{soul_uuid_bride} est en âge de se marier et le roi lui cherche un prétendant.,"{soul_uuid_bride} è in età da matrimonio, e il monarca sta cercando pretendenti adatti.","{soul_uuid_bride} evlilik yaşına geldi ve hükümdar, ona uygun bir eş arıyor.","{soul_uuid_bride} házasulandó korba lépett, és az uralkodó megfelelő partnert keres neki.","{soul_uuid_bride} досягла шлюбного віку, і монарх шукає їй гідного чоловіка.",{soul_uuid_bride} đã đến tuổi kết hôn và nhà vua đang tìm kiếm một người bạn đời phù hợp cho cô ấy.
map.groom,,Жених ищет партию,A groom is looking for a match.,A groom is looking for a match.,Ženich hledá partnera,Um noivo busca uma pretendente,Hay un hombre buscando pareja,Kawaler szuka małżonki,新郎正在寻找配偶。,有新郎正在等待提親。,花婿は結婚相手を探しています。,신랑이 짝을 찾고 있습니다.,Ein Bräutigam sucht nach Heiratswilligen.,Un jeune homme est en quête d'une épouse.,Un giovane è in cerca di moglie.,Bir damat kendine eş arıyor.,Egy vő a párját keresi.,Наречений шукає пару.,Chú rể đang tìm vợ.
map.groom.short,,{soul_uuid_groom} достиг возраста женитьбы и король ищет ему подходящую партию.,"{soul_uuid_groom} has reached the age of marriage, and the king is looking for a suitable partner for him.","{soul_uuid_groom} has reached the age of marriage, and the king is looking for a suitable partner for him.",{soul_uuid_groom} je nyní plnoletý a král pro něj hledá vhodnou partnerku.,{soul_uuid_groom} está na idade de se casar. O rei está buscando alguém adequado para ele.,"{soul_uuid_groom} ya está en edad casadera, y el monarca está buscando una pareja adecuada para él.",{soul_uuid_groom} osiągnął wiek ślubny i król szuka dla niego odpowiedniej partnerki.,{soul_uuid_groom}已经到了适婚年龄，君王正在为他寻找合适的伴侣。,{soul_uuid_groom}已達適婚年齡，君王正在替他物色適合的妻子。,{soul_uuid_groom}は結婚適齢期を迎え、王は彼にふさわしい相手を探しています。,{soul_uuid_groom}이(가) 결혼할 나이가 되었습니다. 왕이 적절한 파트너를 찾고 있습니다.,{soul_uuid_groom} hat das heiratsfähige Alter erreicht und der König ist auf der Suche nach einem passenden Gemahl für ihn.,{soul_uuid_groom} est en âge de se marier et le roi lui cherche une prétendante.,"{soul_uuid_groom} è in età da matrimonio, e il monarca sta cercando pretendenti adatte.","{soul_uuid_groom} evlilik yaşına geldi ve hükümdar, ona uygun bir eş arıyor.","{soul_uuid_groom} házasulandó korba lépett, és az uralkodó megfelelő partnert keres neki.","{soul_uuid_groom} досягнув шлюбного віку, і монарх шукає йому гідну дружину.",{soul_uuid_groom} đã đến tuổi kết hôn và nhà vua đang tìm kiếm một người bạn đời phù hợp cho anh ấy.
map.q_hermit,,Почивший отшельник,,,,,,,,,,,,,,,,,ẩn sĩ đã chết
