Key,Russian,English,Comments,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
options_menu.graphics.screen_format_err2,Выберите формат экрана для отображения списка разрешений.,Select the screen format for displaying the list of resolutions.,,Select the screen format for displaying the list of resolutions.,Vyber formát obrazovky a podívej se na seznam rozlišení.,Selecione o formato de tela para exibição da lista de resoluções.,Selecciona el formato de la pantalla para mostrar la lista de resoluciones.,Wybierz format obrazu dla wyświetlania listy rozdzielczości.,选择显示分辨率列表的屏幕布局。,選取畫面格式以顯示解析度清單。,解像度のリストを表示する画面形式を選択します。,해상도 목록을 표시할 화면 형식을 선택하세요.,"Wähle das Bildschirmformat, um die Liste der möglichen Auflösungen anzuzeigen.",Sélectionnez la définition qui correspond à votre écran.,Seleziona il formato dello schermo per visualizzare l'elenco di risoluzioni.,Çözünürlük listesini görüntülemek için ekran formatını seç.,Válaszd ki a képernyőformátumot a felbontáslista megjelenítéséhez.,Виберіть формат екрану для показу варіантів роздільної здатності.,Chọn định dạng màn hình để hiển thị danh sách các độ phân giải.
options_menu.graphics.screen_format_err,Выбрано пользовательское разрешение.,Custom resolution selected.,,Custom resolution selected.,Je vybráno vlastní rozlišení.,Resolução personalizada selecionada.,Se ha elegido una resolución personalizada.,Wybrano własną rozdzielczość.,已选择自定义分辨率。,已選取自訂解析度。,カスタム解像度を選択しました。,사용자 지정 해상도를 선택했습니다.,Benutzerdefinierte Auflösung ausgewählt.,Définition personnalisée sélectionnée.,Risoluzione personalizzata selezionata.,Özel çözünürlük seçildi.,Egyedi felbontás kiválasztva.,Вибрано власну роздільну здатність.,Độ phân giải tùy chỉnh đã được chọn.
options_menu.graphics.screen_resolution,РАЗРЕШЕНИЕ,RESOLUTION,,RESOLUTION,ROZLIŠENÍ,RESOLUÇÃO,RESOLUCIÓN,ROZDZIELCZOŚĆ,分辨率,解析度,解像度,해상도,AUFLÖSUNG,DÉFINITION,RISOLUZIONE,ÇÖZÜNÜRLÜK,FELBONTÁS,РОЗДІЛЬНА ЗДАТНІСТЬ,ĐỘ PHÂN GIẢI
options_menu.graphics.gui_scale,РАЗМЕР ИНТЕРФЕЙСА,UI SCALE,,UI SCALE,MĚŘÍTKO ROZHRANÍ,ESCALA DA INTERFACE,ESCALA DE LA INTERFAZ,SKALA INTERFEJSU,UI 缩放,介面縮放,UIスケール,UI 크기,UI-SKALIERUNG,ÉCHELLE DE L'INTERFACE,DIMENSIONI INTERFACCIA,ARAYÜZ ÖLÇEĞİ,KEZELŐFELÜLET MÉRETE,МАСШТАБ ІНТЕРФЕЙСУ,TỶ LỆ GIAO DIỆN
options_menu.graphics.screen_format,ФОРМАТ ЭКРАНА,ASPECT RATIO,,ASPECT RATIO,POMĚR STRAN,PROPORÇÃO DE TELA,RELACIÓN DE ASPECTO,FORMAT OBRAZU,纵横比,畫面長寬比,アスペクト比,화면 비율,SEITENVERHÄLTNIS,FORMAT D’IMAGE,FORMATO,GÖRÜNTÜ ORANI,KÉPARÁNY,СПІВВІДНОШЕННЯ СТОРІН,TỶ LỆ KHUNG HÌNH
options_menu.graphics.fxaa,FXAA,FXAA,,FXAA,FXAA,FXAA,FXAA,FXAA,快速近似抗锯齿,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA
options_menu.graphics.vsync,VSync,VSync,,VSync,VSync,Sincronização vertical,Sincronización vertical,Synchr. pionowa,垂直同步,垂直同步,垂直同期,VSync,VSync,Synchronisation verticale,V-sync,Dikey Çözünürlük,Vertikális szinkron,Вертикальна синхронізація,VSync
options_menu.graphics.fps_unlimited,FPS без ограничений,FPS Unlimited,,FPS Unlimited,Neomezené FPS,FPS ilimitado,FPS ilimitados,Brak limitu klatek,帧数无限制,不限幀率,FPS無制限,무제한 FPS,Unbegrenzte FPS,IPS illimitées,FPS illimitati,Sınırsız FPS,FPS korlátlan,Без обмеження кадрів на секунду,FPS Không giới hạn
options_menu.graphics.borderless_mode,Безрамочный режим,Borderless Mode,,Borderless Mode,Režim bez okrajů,Sem bordas,Sin borde,Tryb bez ramki,无边框模式,無邊框,ボーダーレスモード,전체화면 창 모드,Fenstermodus (rahmenlos),Mode sans bordure,Finestra senza bordi,Kenarlıksız Mod,Keret nélküli mód,Режим без рамок,Chế độ Không viền
options_menu.graphics.fullscreen_mode,Полноэкранный режим,Fullscreen Mode,,Fullscreen Mode,Režim celé obrazovky,Tela cheia,Pantalla completa,Tryb pełnego ekranu,全屏模式,全螢幕,フルスクリーンモード,전체화면 모드,Vollbild,Mode plein écran,Schermo intero,Tam Ekran Modu,Teljes képernyő mód,Повноекранний режим,Chế độ Toàn màn hình
options_menu.graphics.windowed_mode,Оконный режим,Windowed Mode,,Windowed Mode,Režim v okně,Janela,En ventana,Tryb w oknie,窗口模式,視窗化,ウィンドウモード,창 모드,Fenstermodus,Mode fenêtré,Finestra,Pencereli Mod,Ablakos mód,Віконний режим,Chế độ Cửa sổ
options_menu.graphics.screen_mode,РЕЖИМ ЭКРАНА,SCREEN MODE,,SCREEN MODE,REŽIM OBRAZOVKY,MODO DE EXIBIÇÃO,MODO DE VISUALIZACIÓN,TRYB WYŚWIETLANIA,屏幕模式,顯示模式,スクリーンモード,화면 모드,ANZEIGEMODUS,MODE D'AFFICHAGE,MODALITÀ SCHERMO,EKRAN MODU,KÉPERNYŐMÓD,РЕЖИМ ЕКРАНУ,CHẾ ĐỘ MÀN HÌNH
options_menu.graphics.global_map_blur,Размытие глобальной карты,Global Map Blur,,Global Map Blur,Rozmazání globální mapy,Desfoque do mapa global,Difuminar mapa del mundo,Globalne rozmycie mapy,世界地图模糊,世界地圖模糊化,グローバルマップ・ブラー,세계 지도 블러,Weltkarten-Unschärfe,Flou de la carte du monde,Sfocatura mappa globale,Dünya Haritası Bulanıklığı,Világtérkép elmosódottsága,Розмиття глобальної мапи,Mờ Bản đồ Toàn cầu
options_menu.graphics,Графика,Graphics,,Graphics,Grafika,Gráficos,Gráficos,Grafika,图形,畫質,グラフィック,그래픽,Grafik,Graphismes,Grafica,Görüntü,Grafika,Графіка,Đồ họa
options_menu.game.secs,сек.,sec,,sec,sek.,seg,s,s,秒,秒,秒,초,Sek.,s,sec,saniye,mp,с.,giây
options_menu.game.hint_lock_delay,ВРЕМЯ ЗАКРЕПЛЕНИЯ ПОДСКАЗКИ,HINT DURATION,,HINT DURATION,DÉLKA NÁPOVĚDY,DURAÇÃO DA DICA,DURACIÓN DE LOS CONSEJOS,CZAS WYŚWIETLANIA PODPOWIEDZI,提示停留时间,提示時長,ヒント表示時間,힌트 지속 시간,TIPPDAUER,DURÉE D’AFFICHAGE DES ASTUCES,DURATA SUGGERIMENTI,İPUCU SÜRESİ,TIPPEK IDŐTARTAMA,ТРИВАЛІСТЬ ПІДКАЗОК,THỜI GIAN GỢI Ý
options_menu.game.encyclopedia_events,ОБУЧЕНИЕ,In-game Tutorial,,In-game Tutorial,Výukové události,TUTORIAIS EM JOGO,Eventos del tutorial,Wydarzenia samouczka,游戏内教程,遊戲內教學,ゲーム内チュートリアル,게임 내 튜토리얼,Spiel-Tutorial,Didacticiel en jeu,Tutorial di gioco,OYUN İÇİ EĞİTİCİ,Oktatójáték-események,Навчальні події,Hướng dẫn trong trò chơi
options_menu.game.language,ЯЗЫК,LANGUAGE,,LANGUAGE,JAZYK,IDIOMA,IDIOMA,JĘZYK,语言,語言,言語,언어,SPRACHE,LANGUE,LINGUA,DİL,NYELV,МОВА,NGÔN NGỮ
options_menu.game,Игра,Game,,Game,Hra,Jogo,Juego,Gra,游戏,遊戲,ゲーム,게임,Spiel,Jeu,Gioco,Oyun,Játék,Гра,Trò chơi
options_menu.title,Настройки игры,Game Settings,,Game Settings,Nastavení hry,Configurações,Configuración del juego,Ustawienia gry,游戏设置,遊戲設定,ゲーム設定,게임 설정,Spieleinstellungen,Paramètres de partie,Impostazioni del gioco,Oyun Ayarları,Játékbeállítások,Настройки гри,Cài đặt Trò chơi
options_menu.cancel,Отменить,Cancel,,Cancel,Zrušit,Cancelar,Cancelar,Anuluj,取消,取消,キャンセル,취소,Abbrechen,Annuler,Annulla,İptal et,Mégse,Скасувати,Hủy
options_menu.ok,ОК,OK,,OK,OK,OK,Aceptar,OK,确定,確定,OK,확인,OK,OK,Ok,TAMAM,OK,ОК,OK
options_menu.accept,Принять,Accept,,Accept,Přijmout,Aceitar,Aceptar,Akceptuj,接受,確定,承諾,수락,Annehmen,Accepter,Accetta,Kabul Et,Elfogad,Прийняти,Chấp nhận
statistics_menu.title,Статистика,Statistics,,Statistics,Statistika,Estatísticas,Estadísticas,Statystyki,统计,統計,ステータス,통계,Statistik,Statistiques,Statistiche,İstatistikler,Statisztikák,Статистика,Thống kê
statistics_menu.crafting,Крафтинг,Crafting,,Crafting,Výroba,Criação,Creación,Wytwarzanie,制作,生產品,クラフト,제작,Herstellung,Artisanat,Creazione,Zanaatkârlık,Tárgykészítés,Виготовлення,Chế tạo
statistics_menu.consumable,Потребляемое,Consumable,,Consumable,Spotřební,Consumíveis,Consumibles,Konsumpcyjne,消耗品,消耗品,消耗品,소모품,Verbrauchsgegenstand,Consommable,Consumabili,Tüketilebilirler,Fogyóeszköz,Витратне,Vật phẩm tiêu hao
main_menu.new_game.family.random,Случайно,Random,,Random,Náhodné,Aleatório,Al azar,Losowe,随机,隨機,ランダム,무작위,Zufällig,Aléatoire,Casuale,Rastgele,Véletlenszerű,Випадкова,Ngẫu nhiên
main_menu.new_game.family.talents,Таланты:,Talents:,,Talents:,Talenty,Talentos:,Talentos:,Talenty:,天赋：,天賦：,タレント：,재능:,Talente:,Talents :,Talenti:,Yetenekler:,Tehetségek:,Таланти:,Tài năng:
main_menu.new_game.family.unlimited,Без ограничений,Unlimited,,Unlimited,Bez limitu,Ilimitado,Ilimitado,Bez ograniczeń,obsolete,無限制,無制限,무제한,Unbegrenzt,Illimité,Senza limiti,Sınırsız,Korlátlan,Необмежено,Không giới hạn
main_menu.new_game.family.banner.back_color,Цвет фона,Background Color,Background Color не влезает,Background Color,Barva pozadí,Cor de fundo,Color de fondo,Kolor tła,背景颜色,背景顏色,背景色,배경 색상,Hintergrundfarbe,Couleur de fond,Colore sfondo,Arka Plan Rengi,Háttérszín,Колір тла,Màu nền
main_menu.new_game.family.banner.pattern_color,Цвет деталей,Pattern Color,,Pattern Color,Barva vzoru,Cor do padrão,Patrón de color,Kolor wzoru,图案颜色,樣式顏色,パターン色,패턴 색상,Musterfarbe,Couleur du motif,Colore motivo,Örüntü Rengi,Minta színe,Колір візерунку,Màu mẫu
main_menu.new_game.province.game_params.beginning_scenario,Начальный сценарий,Start Scenario,,Start Scenario,Zahájit scénář,Cenário inicial,Empezar escenario,Scenariusz początkowy,初始场景,起始劇本,シナリオを開始,시나리오 시작,Szenario starten,Scénarios de départ,Scenario di partenza,Senaryoyu Başlangıcı,Forgatókönyv indítása,Початковий сценарій,Bắt đầu Kịch bản
crisis.no_crisis,Без кризиса,No crisis,,No crisis,Žádná krize,Sem crises,Sin crisis,Bez kryzysu,无危机,無危機,危機の発生なし,위기 없음,Keine Krise,Aucune crise,Nessuna crisi,Kriz yok,Nincs válság,Без кризи,Không khủng hoảng
crisis.horde,Нечестивая Орда,Unholy Horde,,Unholy Horde,Nesvatá horda,A Horda Profana,Horda Impía,Horda Przeklętych,邪恶部族,孽惡部族,罪深き軍団,불경한 군단,Unheilige Horde,Horde impie,Orda profana,Habis Sürü,Szentségtelen Horda,Нечиста орда,Quân đoàn Quỷ dữ
scenario.no_scenario,Без сценария,No scenario,,No scenario,Bez scénáře,Sem cenário,Sin escenario,Bez scenariusza,无场景,無劇本,シナリオなし,시나리오 없음,Kein Szenario,Aucun scénario,Nessuno scenario,Senaryo yok,Nincs forgatókönyv,Без сценарію,Không có kịch bản
scenario.nectar_slaves,Дети нектара,Nectar's Children,,Nectar's Children,Nektarové děti,Filhos do néctar,Hijos del néctar,Dzieci nektaru,蜜酿之子,痛「癮」蜜露,ネクタルの子供,넥타의 아이들,Kinder des Nektars,Les enfants du nectar,Figli del nettare,Nektarın Çocukları,A nektár gyermekei,Діти нектару,Con của Thần hoa
scenario.path_of_sword,Путь меча,The Sword's Path,,The Sword's Path,Cesta meče,O caminho da espada,La senda de la espada,Ścieżka miecza,剑之道,劈荊斬棘,剣の道,검의 길,Der Pfad des Schwerts,La voie de l'acier,La disciplina della spada,Kılıcın Yolu,A kard útja,Шлях меча,Con đường Kiếm
scenario.deserters,Дезертиры,Deserters,,Deserters,Zběhové,Desertores,Desertores,Dezerterzy,逃兵流寇,逃兵流寇,脱走兵,탈영병,Deserteure,Désertion,Disertori,Firariler,Dezertőrök,Дезертири,Kẻ đào ngũ
scenario.juice_of_life,Сок жизни,Juice of Life,,Juice of Life,Životní šťáva,A essência da vida,El fluido vital,Sok życia,生命琼浆,生命瓊漿,生命のジュース,생명의 주스,Saft des Lebens,L'essence de la vie,Linfa vitale,Can Suyu,Éltető nedű,Сік життя,Nước Ép Cuộc Sống
scenario.to_the_touch,Наощупь,By Touch,,By Touch,Na dotek,Pelo toque,Por el tacto,Na wyczucie,触摸探索,瞎子摸象,触れるだけで,눈 대신 손으로,Nach Gefühl,Du bout des doigts,Tatto,Bir Dokunuş,Érintéssel,На дотик,Bằng Chạm
scenario.path_of_hammer,Путь молота,The Hammer's Way,,The Hammer's Way,Cesta kladiva,O caminho do martelo,La senda del martillo,Droga młota,匠人精神,匠人精神,ハンマーの道,망치의 길,Der Weg des Hammers,La voie du marteau,La via del martello,Çekicin Yolu,A kalapács útja,Шлях молота,Con đường Búa
scenario.captured_wife,Пленник,Prisoner,,Prisoner,Vězeň,Refém,Prisionero,Jeniec,囚犯,囚犯,囚人,수감자,Sklave,Prise d'otage,Ostaggio,Mahkûm,Fogoly,Ув'язнена,Tù nhân
scenario.surrounded_by_enemies,В окружении врагов,Surrounded by Enemies,,Surrounded by Enemies,V obklopení nepřátel,Cercado por inimigos,Rodeado de enemigos,W otoczeniu wrogów,腹背受敌,腹背受敵,敵の包囲網,적의 포위,Vom Feind umzingelt,À la merci des ennemis,Nemici ovunque,Düşmanlarla Sarılı,Ellenségektől körülvéve,У ворожій облозі,Bị bao vây bởi Kẻ thù
scenario.peacepul_dolina,Мирная долина,Peaceful Valley,,Peaceful Valley,Poklidné údolí,Vilarejo pacífico,Valle pacífico,Pokojowa dolina,和平谷,和平之鄉,平穏なる渓谷,평화로운 계곡,Friedliches Tal,Vallée de la paix,Valle pacifica,Barış Vadisi,Békés völgy,Мирна долина,Thung lũng Hòa bình
scenario.everything_is_lost,Все пропало,Everything is Lost,,Everything is Lost,Všechno je ztraceno,Tudo está perdido,Todo está perdido,Wszystko stracone,全盘皆输,滿盤皆輸,すべてが失われた,완전한 상실,Alles ist verloren,Tout est perdu,Tutto è perduto,Büyük Kayıp,Minden oda,Все пропало,Mọi thứ đều mất
scenario.slave_owner,Хозяева,Prison Owners,,Prison Owners,Majitelé vězení,Donos de prisão,Propietarios de prisiones,Handlarze jeńców,监狱之主,囚徒領主,刑務所所長,감옥 주인,Kerkermeister,Esclavagisme,Carcerieri,Hapishane Sahipleri,Börtöngazdák,Господарі в'язниці,Chủ nhân Nhà tù
main_menu.new_game.province.game_params.crisis,Кризис,Crisis,,Crisis,Krize,Crise,Crisis,Kryzys,危机,危機,危機,위기,Krise,Crises,Crisi,Kriz,Válság,Криза,Khủng hoảng
main_menu.new_game.province.game_params.crisis.no_crisis,Нет кризиса,No crisis,,No crisis,Žádná krize,Sem crises,Sin crisis,Bez kryzysu,无危机,無危機,危機の発生なし,위기 없음,Keine Krise,Aucune crise,Nessuna crisi,Kriz yok,Nincs válság,Без кризи,Không khủng hoảng
main_menu.new_game.province.game_params.crisis.unholy_horde,Нечестивая орда,Unholy Horde,,Unholy Horde,Nesvatá horda,A Horda Profana,Horda Impía,Horda Przeklętych,邪恶部族,孽惡部族,罪深き軍団,불경한 군단,Unheilige Horde,Horde impie,Orda profana,Habis Sürü,Szentségtelen Horda,Нечиста орда,Quân đoàn Quỷ dữ
main_menu.new_game.province.game_params.crisis.pandemic,Пандемия,Pandemic,,Pandemic,Pandemie,Pandemia,Pandemia,Pandemia,流行病,瘟疫爆發,パンデミック,대역병,Seuche,Pandémie,Pandemia,Salgın,Világjárvány,Пандемія,Đại dịch
main_menu.new_game.province.game_params.crisis.religious_war,Религиозная война,Religious War,,Religious War,Náboženská válka,Guerra santa,Guerra religiosa,Wojna religijna,宗教战争,宗教戰爭,宗教戦争,종교 전쟁,Religionskrieg,Guerre religieuse,Guerra di religione,Dinî Savaş,Vallási háború,Релігійна війна,Chiến tranh Tôn giáo
main_menu.new_game.province.game_params.crisis.long_winter,Долгая зима,Long Winter,,Long Winter,Dlouhá zima,Inverno longo,Largo invierno,Długa zima,长冬,漫長凜冬,長い冬,긴 겨울,Langer Winter,Hiver interminable,Lungo inverno,Uzun Kış,Hosszú tél,Довга зима,Mùa đông dài
main_menu.new_game.province.game_params.mutators,Модификаторы,Modifiers,,Modifiers,Modifikátory,Modificadores,Modificadores,Modyfikatory,变故,變數,変更遺伝子,변수 보정,Modifikatoren,Modificateurs,Modificatori,Dönüştürücüler,Módosítók,Модифікатори,Biến đổi
mutator.wave_fanatism,Волна фанатизма,Wave of Fanaticism,,Wave of Fanaticism,Vlna fanatismu,Onda de fanatismo,Oleada de fanatismo,Fala fanatyzmu,狂热浪潮,狂信浪潮,狂信の波,광신주의 물결,Welle des Fanatismus,Vague fanatique,Ondata di fanatismo,Fanatizm Dalgası,A vakbuzgóság hulláma,Хвиля фанатизму,Làn sóng cuồng tín
mutator.after_war,После войны,After War,,After War,Dozvuky války,Após a guerra,Posguerra,Powojnie,战后余波,戰後餘波,戦いの後,전쟁 후,Nach dem Krieg,Après-guerre,Dopoguerra,Savaş Sonrası,A háború után,Після війни,Hậu chiến
mutator.decline_of_trade,Упадок торговли,Trade Decline,,Trade Decline,Pokles obchodu,Declínio do comércio,Disminución del comercio,Załamanie handlu,贸易衰退,貿易衰退,貿易の落ち込み,무역 감소,Schwindender Handel,Commerce en déclin,Declino del commercio,Ticari Gerileme,Hanyatló kereskedelem,Занепад торгівлі,Suy giảm Thương mại
mutator.power_of_crowd,Сила толпы,Strength in Numbers,,Strength in Numbers,Početní převaha,Força nos números,La unión hace la fuerza,Przewaga liczebna,人多势众,人多勢眾,数の暴力,머릿수의 힘,Zahlenmäßige Überlegenheit,L'union fait la force,Superiorità numerica,Birlikten Kuvvet Doğar,A tömeg hatalma,Разом – сила,Sức mạnh trong Số lượng
mutator.fast_metabolism,Быстрый метаболизм,Fast Metabolism,,Fast Metabolism,Rychlý metabolismus,Metabolismo rápido,Metabolismo rápido,Szybki metabolizm,疾速代谢,疾速代謝,活発な新陳代謝,빠른 신진대사,Schneller Stoffwechsel,Métabolisme rapide,Metabolismo veloce,Hızlı Metabolizma,Gyors anyagcsere,Швидкий метаболізм,Trao đổi chất Nhanh
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Настроить,Set up,,Set up,Nastavit,Equipamento,Ajustes,Ustaw,设置,設定,設営,설정,Einrichten,Configuration,Configura,Ayarla,Beállítás,Призначити,Thiết lập
main_menu.new_game.family_editor.erethic,Еретик,Heretic,,Heretic,Kacíř,Herege,Hereje,Heretyk,异教徒,異教徒,異端者,이단,Ketzer,Hérétique,Eretico,Kâfir,Eretnek,Єретик,Kẻ dị giáo
main_menu.new_game.province.game_params.adv_neighbours_settings,Расширенная настройка соседей,Advanced neighbors settings,,Advanced neighbors settings,Pokročilé nastavení sousedů,Configurações avançadas de vizinhança,Configuración avanzada de los vecinos,Zaaw. ustawienia sąsiadów,高级邻邦设置,鄰近勢力進階設定,高度な隣人設定,고급 이웃 설정,Erweiterte Nachbar-Einstellungen,Paramètres avancés des voisins,Impostazioni avanzate vicini,Gelişmiş komşu ayarları,Haladó szomszédsági beállítások,Розширені настройки сусідів,Cài đặt hàng xóm nâng cao
main_menu.new_game.province.game_params.header,Параметры игры,Game parameters,,Game parameters,Parametry hry,Parâmetros do jogo,Parámetros del juego,Parametry gry,游戏参数,遊戲參數,ゲームパラメーター,게임 매개변수,Spielparameter,Paramètre de la partie,Parametri di gioco,Oyun parametreleri,Játékparaméterek,Ігрові параметри,Tham số trò chơi
main_menu.new_game.province.header,Выберите стартовую провинцию,Choose your starting province,,Choose your starting province,Vyber si počáteční provincii.,Escolha sua província inicial.,Elige tu provincia inicial,Wybierz prowincję początkową,选择你的起始省邦,選擇起始省邦,開始する王国を選ぶ,시작 영지를 선택하세요,Startprovinz wählen,Sélectionnez une province de départ,Scegli la provincia di partenza,Başlangıç vilayetini seç,Kezdő tartomány kiválasztása,Вибрати стартову провінцію,Chọn tỉnh bắt đầu của bạn
main_menu.new_game.province.header.back_to_select_mode,Настройте свои и другие провинции,Set up your and other provinces,,Set up your and other provinces,Nastav si svou i ostatní provincie.,Estabeleça sua província e seus vizinhos.,Configura tu provincia y las demás,Wybierz ustawienia prowincji,设置你的省邦和其他省邦,設定自己和鄰近省邦,自分および他人の王国を設定,자신의 영지와 다른 영지를 설정하세요,Deine und andere Provinzen einrichten,Configurez votre province et les autres,Configura le province,Kendi vilayetini ve diğer vilayetleri ayarla,A saját és a többi tartomány beállítása,Призначити провінції собі й іншим,Thiết lập tỉnh của bạn và các tỉnh khác
main_menu.new_game.province.header.next,Дальше,Next,,Next,Další,Próximo,Siguiente,Dalej,下一条,下一頁,次へ,다음,Weiter,Suivant,Avanti,Sonraki,Tovább,Далі,Tiếp theo
main_menu.new_game.province.banner,Герб королевства,Banner,,Banner,Prapor,Poste decorativo,Estandarte,Sztandar,旗帜,旗幟,旗,깃발,Banner,Bannière,Stendardo,Sancak,Lobogó,Стяг,Biểu ngữ
main_menu.new_game.province.difficulty,Сложность,Difficulty,,Difficulty,Obtížnost,Dificuldade,Dificultad,Poziom trudności,难度,難度,難易度,난이도,Schwierigkeitsgrad,Difficulté,Difficoltà,Zorluk,Nehézség,Складність,Độ khó
main_menu.new_game.province.difficulty.peaceful,Мирный режим,Peaceful mode,,Peaceful mode,Mírumilovný režim,Pacífico,Modo Pacífico,Tryb pokojowy,和平模式,和平模式,平和モード,평화 모드,Friedlicher Modus,Paisible,Modalità pacifica,Barışçıl Mod,Békés mód,Мирний режим,Chế độ hòa bình
main_menu.new_game.province.difficulty.normal,Нормально,Normal,,Normal,Normální,Normal,Normal,Normalny,普通,正常,ノーマル,보통,Normal,Normal,Normale,Normal,Normál,Звичайний,Bình thường
main_menu.new_game.hardcore_start,Хардкор,Hardcore,,Hardcore,Hardcore,Extremo,Extrema,Ekstremalny,硬核模式,硬核,ハードコア,하드코어,Hardcore,Extrême,Ardua,Zor,Kemény,Суворий,Khó khăn
