Key,Russian,English,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
f_name.gwelts.26,Рагна,Ragna,,Ragna,,,,,,,,,,,,Раґна,An Thảo
f_name.gwelts.27,Сельма,Selma,,Selma,,,,,,,,,,,,Сельма,Ánh Mơ
f_name.gwelts.28,Сента,Senta,,Senta,,,,,,,,,,,,Сента,An Ngọc
f_name.gwelts.29,Тильда,Tilda,,Tilda,,,,,,,,,,,,Тільда,Ái Đào
f_name.gwelts.30,Улла,Ulla,,Ulla,,,,,,,,,,,,Улла,An Ly
f_name.gwelts.31,Адина,Adina,,Adina,,,,,,,,,,,,Адіна,Anh Hương
f_name.gwelts.32,Агна,Agna,,Agna,,,,,,,,,,,,Аґна,Ánh Thủy
f_name.gwelts.33,Алида,Alida,,Alida,,,,,,,,,,,,Аліда,An Mai
f_name.gwelts.34,Алина,Alina,,Alina,,,,,,,,,,,,Аліна,Anh Hạnh
f_name.gwelts.35,Амма,Amma,,Amma,,,,,,,,,,,,Ама,An Nhiên
f_name.gwelts.36,Анка,Anka,,Anka,,,,,,,,,,,,Анка,Ái Linh
f_name.gwelts.37,Арда,Arda,,Arda,,,,,,,,,,,,Арда,An Cẩm
f_name.gwelts.38,Арна,Arna,,Arna,,,,,,,,,,,,Арна,Anh Phượng
f_name.gwelts.39,Асла,Asla,,Asla,,,,,,,,,,,,Азла,An Bảo
f_name.gwelts.40,Асти,Asti,,Asti,,,,,,,,,,,,Асті,Ánh Nguyệt
f_name.gwelts.41,Одра,Audra,,Audra,,,,,,,,,,,,Аудра,An Như
f_name.gwelts.42,Авела,Avela,,Avela,,,,,,,,,,,,Авела,Anh Vui
f_name.gwelts.43,Бела,Bela,,Bela,,,,,,,,,,,,Белла,An Diệp
f_name.gwelts.44,Бетта,Betta,,Betta,,,,,,,,,,,,Бетта,Ái Vân
f_name.gwelts.45,Бина,Bina,,Bina,,,,,,,,,,,,Біна,Anh Hồng
f_name.gwelts.46,Брина,Brina,,Brina,,,,,,,,,,,,Брінна,An Xuân
f_name.gwelts.47,Брета,Brita,,Brita,,,,,,,,,,,,Бріта,Ánh Liên
f_name.gwelts.48,Кайя,Caja,,Caja,,,,,,,,,,,,Сайя,An Hương
f_name.gwelts.49,Кара,Cara,,Cara,,,,,,,,,,,,Кейра,Anh Liên
f_name.gwelts.50,Цилла,Cilla,,Cilla,,,,,,,,,,,,Кілла,Ái Tuyết
f_name.gwelts.51,Дара,Dara,,Dara,,,,,,,,,,,,Даара,An Quỳnh
f_name.gwelts.52,Делла,Della,,Della,,,,,,,,,,,,Делла,Anh Nghi
f_name.gwelts.53,Дила,Dila,,Dila,,,,,,,,,,,,Ділла,An Khuê
f_name.gwelts.54,Дина,Dina,,Dina,,,,,,,,,,,,Діна,Ái Linh
f_name.gwelts.55,Эйла,Eila,,Eila,,,,,,,,,,,,Ейлла,Anh Đào
f_name.gwelts.56,Эльна,Elna,,Elna,,,,,,,,,,,,Ельна,An Thúy
f_name.gwelts.57,Элси,Elsi,,Elsi,,,,,,,,,,,,Ельзі,Ánh Mộng
f_name.gwelts.58,Эрна,Erna,,Erna,,,,,,,,,,,,Ейрна,An Thư
f_name.gwelts.59,Эста,Esta,,Esta,,,,,,,,,,,,Ейста,Anh Xuân
f_name.gwelts.60,Эула,Eula,,Eula,,,,,,,,,,,,Еола,Ái Duyên
f_name.gwelts.61,Фела,Fela,,Fela,,,,,,,,,,,,Фела,Bích Ngọc
f_name.gwelts.62,Фина,Fina,,Fina,,,,,,,,,,,,Фіна,Bảo Linh
f_name.gwelts.63,Флара,Flara,,Flara,,,,,,,,,,,,Флера,Bình An
f_name.gwelts.64,Фреда,Freda,,Freda,,,,,,,,,,,,Фреда,Bích Thủy
f_name.gwelts.65,Фриа,Fria,,Frida,,,,,,,,,,,,Фріа,Bảo Quyên
f_name.gwelts.66,Фриди,Fridi,,Fridi,,,,,,,,,,,,Фріді,Bích Hạnh
f_name.gwelts.67,Гайла,Gaila,,Gaila,,,,,,,,,,,,Ґайла,Bảo Trâm
f_name.gwelts.68,Гала,Gala,,Gaka,,,,,,,,,,,,Ґала,Bích Diệp
f_name.gwelts.69,Гара,Gara,,Gara,,,,,,,,,,,,Ґарра,Bình Thư
f_name.gwelts.70,Гила,Gila,,Gila,,,,,,,,,,,,Ґілла,Bảo Yến
f_name.gwelts.71,Гитта,Gitta,,Gitta,,,,,,,,,,,,Ґіта,Bích Hồng
f_name.gwelts.72,Хеда,Heda,,Heda,,,,,,,,,,,,Гедда,Bảo Nhi
f_name.gwelts.73,Херта,Herta,,Herta,,,,,,,,,,,,Герра,Bình Phương
f_name.gwelts.74,Хульда,Hulda,,Hulda,,,,,,,,,,,,Гульда,Bích Mai
f_name.gwelts.75,Идуна,Iduna,,Iduna,,,,,,,,,,,,Ідуна,Bảo Châu
f_name.gwelts.76,Илга,Ilga,,Ilga,,,,,,,,,,,,Ілга,Bình Lan
f_name.gwelts.77,Инга,Inga,,Inga,,,,,,,,,,,,Інґа,Bích Lệ
f_name.gwelts.78,Инка,Inka,,Inka,,,,,,,,,,,,Інка,Bảo Ái
f_name.gwelts.79,Ирда,Irda,,Irda,,,,,,,,,,,,Ірда,Bích Dung
f_name.gwelts.80,Ирса,Irsa,,Irsa,,,,,,,,,,,,Ірза,Bình Tuyết
f_name.gwelts.81,Исла,Isla,,Isla,,,,,,,,,,,,Ісла,Bảo Thanh
f_name.gwelts.82,Яна,Jana,,Jana,,,,,,,,,,,,Яна,Bích Thảo
f_name.gwelts.83,Яра,Jara,,Jara,,,,,,,,,,,,Яра,Bảo Ngân
f_name.gwelts.84,Кая,Kaja,,Kaja,,,,,,,,,,,,Кайа,Bình Nhi
f_name.gwelts.85,Кала,Kala,,Kala,,,,,,,,,,,,Кала,Bích Thu
f_name.gwelts.86,Кельда,Kelda,,Kelda,,,,,,,,,,,,Кельда,Bảo Nhiên
f_name.gwelts.87,Кира,Kira,,Kira,,,,,,,,,,,,Кіра,Bình Quỳnh
f_name.gwelts.88,Леда,Leda,,Leda,,,,,,,,,,,,Леда,Bích Minh
f_name.gwelts.89,Ленна,Lenna,,Lenna,,,,,,,,,,,,Ленна,Bảo Hương
f_name.gwelts.90,Лила,Lila,,Lila,,,,,,,,,,,,Ліла,Bình Tâm
f_name.gwelts.91,Лира,Lira,,Lira,,,,,,,,,,,,Ліра,Bích Nguyệt
f_name.gwelts.92,Лона,Lona,,Lona,,,,,,,,,,,,Лона,Bảo Trinh
f_name.gwelts.93,Лотти,Lotti,,Lotti,,,,,,,,,,,,Лотті,Bình Hòa
f_name.gwelts.94,Мада,Mada,,Mada,,,,,,,,,,,,Мада,Bích Lê
f_name.gwelts.95,Майа,Maja,,Maja,,,,,,,,,,,,Майа,Bảo Hân
f_name.gwelts.96,Мальда,Malda,,Malda,,,,,,,,,,,,Мальда,Bình Phúc
f_name.gwelts.97,Марен,Maren,,Maren,,,,,,,,,,,,Марен,Bích Thúy
f_name.gwelts.98,Марла,Marla,,Marla,,,,,,,,,,,,Марла,Bảo Lan
f_name.gwelts.99,Мета,Meta,,Mita,,,,,,,,,,,,Мета,Bình Dung
f_name.gwelts.100,Мила,Mila,,Mila,,,,,,,,,,,,Міла,Bích Đào
f_name.gwelts.101,Мира,Mira,,Mira,,,,,,,,,,,,Міра,Bảo Thư
f_name.gwelts.102,Нара,Nara,,Nara,,,,,,,,,,,,Нара,Bình Ngọc
f_name.gwelts.103,Нельда,Nelda,,Nelda,,,,,,,,,,,,Нельда,Bích Thuận
f_name.gwelts.104,Ника,Nika,,Nika,,,,,,,,,,,,Ніка,Bảo Yến
f_name.gwelts.105,Нила,Nila,,Nila,,,,,,,,,,,,Ніла,Bình Khuê
f_name.gwelts.106,Нона,Nona,,Nona,,,,,,,,,,,,Нона,Bích Vân
f_name.gwelts.107,Нора,Nora,,Nora,,,,,,,,,,,,Нора,Bảo Châu
f_name.gwelts.108,Ольга,Olga,,Olga,,,,,,,,,,,,Ольга,Bình Thảo
f_name.gwelts.109,Орса,Orsa,,Orsa,,,,,,,,,,,,Орса,Bích Hương
f_name.gwelts.110,Остая,Osta,,Osta,,,,,,,,,,,,Оста,Bảo Tuyết
f_name.gwelts.111,Рана,Rana,,Rana,,,,,,,,,,,,Рана,Bình Phương
f_name.gwelts.112,Реба,Reba,,Reba,,,,,,,,,,,,Реба,Bích Như
f_name.gwelts.113,Рена,Rena,,Rena,,,,,,,,,,,,Рена,Bảo Minh
f_name.gwelts.114,Рила,Rila,,Rila,,,,,,,,,,,,Ріла,Bình Đan
f_name.gwelts.115,Рина,Rina,,Rina,,,,,,,,,,,,Ріна,Bích Tâm
f_name.gwelts.116,Рита,Rita,,Rita,,,,,,,,,,,,Ріта,Bảo Xuân
f_name.gwelts.117,Сада,Sada,,Sada,,,,,,,,,,,,Сада,Bình Thúy
f_name.gwelts.118,Сага,Saga,,Saga,,,,,,,,,,,,Саґа,Bích Hòa
f_name.gwelts.119,Сая,Saja,,Saja,,,,,,,,,,,,Сайа,Bảo Diệp
f_name.gwelts.120,Сальма,Salma,,Salma,,,,,,,,,,,,Сальма,Bình Nhu
f_name.gwelts.121,Ильза,Ilsa,,Ilsa,,,,,,,,,,,,Ільса,Cẩm Nhung
f_name.gwelts.122,Ирна,Irna,,Irna,,,,,,,,,,,,Ірна,Cát Tường
f_name.gwelts.123,Анса,Ansa,,Ansa,,,,,,,,,,,,Анса,Cẩm Linh
f_name.gwelts.124,Инна,Inna,,Inna,,,,,,,,,,,,Інна,Cúc Hoa
f_name.gwelts.125,Лотта,Lotta,,Lotta,,,,,,,,,,,,Лотта,Cẩm Tú
f_name.gwelts.126,Вера,Vera,,Vera,,,,,,,,,,,,Веара,Cát Thảo
f_name.gwelts.127,Анка,Anka,,Anka,,,,,,,,,,,,Аніка,Cẩm Vân
f_name.gwelts.128,Эльна,Elna,,Elna,,,,,,,,,,,,Елна,Cúc Tuyết
f_name.gwelts.129,Бетта,Betta,,Betta,,,,,,,,,,,,Бета,Cẩm Ngọc
f_name.gwelts.130,Грета,Greta,,Greta,,,,,,,,,,,,Ґрета,Cát Đào
f_name.gwelts.131,Рета,Reta,,Reta,,,,,,,,,,,,Рета,Cẩm Hạnh
f_name.gwelts.132,Кира,Kira,,Kira,,,,,,,,,,,,Кіра,Cúc Mai
f_name.gwelts.133,Труда,Truda,,Truda,,,,,,,,,,,,Труда,Cẩm Thúy
f_name.gwelts.134,Сильва,Sylva,,Sylva,,,,,,,,,,,,Сільва,Cát Linh
f_name.gwelts.135,Лона,Lona,,Lona,,,,,,,,,,,,Лона,Cẩm Quyên
f_name.gwelts.136,Нелла,Nella,,Nella,,,,,,,,,,,,Нелла,Cúc Thu
f_name.gwelts.137,Орна,Orna,,Orna,,,,,,,,,,,,Орна,Cẩm Hương
f_name.gwelts.138,Пия,Pia,,Pia,,,,,,,,,,,,Піа,Cát Hồng
f_name.gwelts.139,Рена,Rena,,Rena,,,,,,,,,,,,Рена,Cẩm Bích
f_name.gwelts.140,Зельма,Zelma,,Zelma,,,,,,,,,,,,Зельма,Cúc Nhi
f_name.gwelts.141,Альда,Alda,,Alda,,,,,,,,,,,,Альда,Cẩm An
f_name.gwelts.142,Ани,Anni,,Anni,,,,,,,,,,,,Анні,Cát Tuyết
f_name.gwelts.143,Арна,Arna,,Arna,,,,,,,,,,,,Арная,Cẩm Diệp
f_name.gwelts.144,Бина,Bina,,Bina,,,,,,,,,,,,Біна,Cúc Ái
f_name.gwelts.145,Бирга,Birga,,Birga,,,,,,,,,,,,Бірґа,Cẩm Thanh
f_name.gwelts.146,Цилла,Cilla,,Cilla,,,,,,,,,,,,Кілла,Cát Lan
f_name.gwelts.147,Дара,Dara,,Dara,,,,,,,,,,,,Дара,Cẩm Tâm
f_name.gwelts.148,Эбба,Ebba,,Ebba,,,,,,,,,,,,Ебба,Cúc Vân
f_name.gwelts.149,Эйла,Eila,,Eila,,,,,,,,,,,,Ейла,Cẩm Phương
f_name.gwelts.150,Элька,Elka,,Elka,,,,,,,,,,,,Елька,Cát Châu
f_name.gwelts.151,Эльма,Elma,,Elma,,,,,,,,,,,,Ельма,Cẩm Lệ
f_name.gwelts.152,Эрна,Erna,,Erna,,,,,,,,,,,,Ерна,Cúc Đào
f_name.gwelts.153,Фенна,Fenna,,Fenna,,,,,,,,,,,,Фенна,Cẩm Như
f_name.gwelts.154,Гинта,Ginta,,Ginta,,,,,,,,,,,,Ґінта,Cát Bảo
f_name.gwelts.155,Хеда,Heda,,Heda,,,,,,,,,,,,Геда,Cẩm Trinh
f_name.gwelts.156,Херта,Herta,,Herta,,,,,,,,,,,,Герта,Cúc Linh
f_name.gwelts.157,Хесса,Hessa,,Hessa,,,,,,,,,,,,Гесса,Cẩm Thúy
f_name.gwelts.158,Идна,Idna,,Idna,,,,,,,,,,,,Ідена,Cát Vân
f_name.gwelts.159,Илга,Ilga,,Ilga,,,,,,,,,,,,Ільга,Cẩm Đan
f_name.gwelts.160,Инда,Inda,,Inda,,,,,,,,,,,,Інда,Cúc Yến
f_name.gwelts.161,Инка,Inka,,Inka,,,,,,,,,,,,Інка,Cẩm Hòa
f_name.gwelts.162,Янна,Janna,,Janna,,,,,,,,,,,,Янна,Cát Thủy
f_name.gwelts.163,Юла,Jula,,Jula,,,,,,,,,,,,Юла,Cẩm Tuyết
f_name.gwelts.164,Келда,Kelda,,Kelda,,,,,,,,,,,,Кельда,Cúc Trâm
f_name.gwelts.165,Кора,Kora,,Kora,,,,,,,,,,,,Кора,Cẩm Phúc
f_name.gwelts.166,Ланда,Landa,,Landa,,,,,,,,,,,,Ланда,Cát Thư
f_name.gwelts.167,Лейна,Leina,,Leina,,,,,,,,,,,,Лейна,Cẩm Nguyệt
f_name.gwelts.168,Лилия,Lilia,,Lilia,,,,,,,,,,,,Лілія,Cúc Hạnh
f_name.gwelts.169,Лорна,Lorna,,Lorna,,,,,,,,,,,,Лорна,Cẩm Ly
f_name.gwelts.170,Майда,Maida,,Maida,,,,,,,,,,,,Мейда,Cát Thúy
f_name.gwelts.171,Майда,Maida,,Maida,,,,,,,,,,,,Мейда,Cẩm Tường
f_name.gwelts.172,Майда,Maida,,Maida,,,,,,,,,,,,Мейда,Cúc Vui
f_name.gwelts.173,Милда,Milda,,Milda,,,,,,,,,,,,Мільда,Cẩm Minh
f_name.gwelts.174,Мирка,Mirka,,Mirka,,,,,,,,,,,,Мірка,Cát Hạnh
f_name.gwelts.175,Нарда,Narda,,Narda,,,,,,,,,,,,Нарда,Cẩm Dung
f_name.gwelts.176,Нельда,Nelda,,Nelda,,,,,,,,,,,,Нельда,Cúc Hương
f_name.gwelts.177,Нита,Nita,,Nita,,,,,,,,,,,,Ніта,Cẩm Linh
f_name.gwelts.178,Офра,Ofra,,Ofra,,,,,,,,,,,,Офра,Cát Như
f_name.gwelts.179,Олена,Olena,,Olena,,,,,,,,,,,,Олена,Cẩm Nhi
f_name.gwelts.180,Орла,Orla,,Orla,,,,,,,,,,,,Орла,Cúc Ngọc
f_name.gwelts.181,Пелла,Pella,,Pella,,,,,,,,,,,,Пелла,Diệp Nhi
f_name.gwelts.182,Ранда,Randa,,Randa,,,,,,,,,,,,Ранда,Duyên Thảo
f_name.gwelts.183,Реса,Resa,,Resa,,,,,,,,,,,,Реза,Đan Thư
f_name.gwelts.184,Рина,Rina,,Rina,,,,,,,,,,,,Ріна,Diệu Hương
f_name.gwelts.185,Ронда,Ronda,,Ronda,,,,,,,,,,,,Ронда,Dung Nhi
f_name.gwelts.186,Сальма,Salma,,Salma,,,,,,,,,,,,Сальма,Duyên Linh
f_name.gwelts.187,Сарна,Sarna,,Satna,,,,,,,,,,,,Сарна,Đan Ngọc
f_name.gwelts.188,Селия,Selia,,Selia,,,,,,,,,,,,Сілія,Diệu Anh
f_name.gwelts.189,Сина,Sina,,Sina,,,,,,,,,,,,Сіна,Dung Hạnh
f_name.gwelts.190,Сона,Sona,,Sona,,,,,,,,,,,,Сона,Duyên Mai
f_name.gwelts.191,Суна,Suna,,Suna,,,,,,,,,,,,Зуна,Đan Thanh
f_name.gwelts.192,Тала,Tala,,Tala,,,,,,,,,,,,Тала,Diệu Thúy
f_name.gwelts.193,Тама,Tama,,Tama,,,,,,,,,,,,Тама,Dung Thảo
f_name.gwelts.194,Тара,Tara,,Tara,,,,,,,,,,,,Тара,Duyên Tuyết
f_name.gwelts.195,Тезия,Tesia,,Tesia,,,,,,,,,,,,Тесія,Đan Hòa
f_name.gwelts.196,Тора,Thora,,Thora,,,,,,,,,,,,Торра,Diệu Lan
f_name.gwelts.197,Тила,Tila,,Tila,,,,,,,,,,,,Тіла,Dung Tuyết
f_name.gwelts.198,Това,Tova,,Tova,,,,,,,,,,,,Това,Duyên Phương
f_name.gwelts.199,Ульма,Ulma,,Ulma,,,,,,,,,,,,Ульма,Đan Hương
f_name.gwelts.200,Ута,Uta,,Uta,,,,,,,,,,,,Ута,Diệu Vân
f_name.gwelts.201,Вада,Vada,,Vada,,,,,,,,,,,,Влада,Dung Hồng
f_name.gwelts.202,Вала,Vala,,Vala,,,,,,,,,,,,Валла,Duyên Bích
f_name.gwelts.203,Ванда,Vanda,,Vanda,,,,,,,,,,,,Ванда,Đan Diệp
f_name.gwelts.204,Велда,Velda,,Velda,,,,,,,,,,,,Вельда,Diệu Ái
f_name.gwelts.205,Верна,Verna,,Verna,,,,,,,,,,,,Верна,Dung Quỳnh
f_name.gwelts.206,Весна,Vesna,,Vesna,,,,,,,,,,,,Весна,Duyên Ngọc
f_name.gwelts.207,Веста,Vesta,,Vesta,,,,,,,,,,,,Веста,Đan Liên
f_name.gwelts.208,Вига,Viga,,Viga,,,,,,,,,,,,Віґа,Diệu Minh
f_name.gwelts.209,Вина,Vina,,Vina,,,,,,,,,,,,Віна,Dung Thanh
f_name.gwelts.210,Вива,Viva,,Viva,,,,,,,,,,,,Віва,Duyên Hạnh
f_name.gwelts.211,Вила,Wila,,Wila,,,,,,,,,,,,Віла,Đan Lê
f_name.gwelts.212,Вильма,Wilma,,Wilma,,,,,,,,,,,,Вільма,Diệu Yến
f_name.gwelts.213,Зена,Xena,,Xena,,,,,,,,,,,,Ксена,Dung Đào
f_name.gwelts.214,Ильва,Ylva,,Ylva,,,,,,,,,,,,Ілва,Duyên Nhi
f_name.gwelts.215,Ирса,Yrsa,,Yrsa,,,,,,,,,,,,Ірса,Đan Tâm
f_name.gwelts.216,Зара,Zara,,Zara,,,,,,,,,,,,Зарра,Diệu Thu
f_name.gwelts.217,Зелна,Zelna,,Zelna,,,,,,,,,,,,Зельна,Dung Nhu
f_name.gwelts.218,Зила,Zila,,Zila,,,,,,,,,,,,Зіла,Duyên Nguyệt
f_name.gwelts.219,Зина,Zina,,Zina,,,,,,,,,,,,Зіна,Đan Trinh
f_name.gwelts.220,Зора,Zora,,Zora,,,,,,,,,,,,Зоара,Diệu Trâm
f_name.gwelts.221,Зила,Zyla,,Zyla,,,,,,,,,,,,Зайла,Dung Xuân
f_name.gwelts.222,Зыра,Zyra,,Zyra,,,,,,,,,,,,Зайра,Duyên Cẩm
f_name.gwelts.223,Зита,Zyta,,Zyta,,,,,,,,,,,,Зіта,Đan Khuê
f_name.gwelts.224,Зыва,Zyva,,Zyva,,,,,,,,,,,,Зіва,Diệu Thủy
f_name.gwelts.225,Адна,Adna,,Adna,,,,,,,,,,,,Адіна,Dung Phúc
f_name.gwelts.226,Бела,Bela,,Bela,,,,,,,,,,,,Бела,Duyên Như
f_name.gwelts.227,Брина,Brina,,Brina,,,,,,,,,,,,Бріна,Đan Tuyết
f_name.gwelts.228,Карен,Caren,,Caren,,,,,,,,,,,,Керен,Diệu Quỳnh
f_name.gwelts.229,Эдра,Edra,,Edra,,,,,,,,,,,,Ейдра,Dung Vân
f_name.gwelts.230,Эльфа,Elfa,,Elfa,,,,,,,,,,,,Ельфа,Duyên Hòa
f_name.gwelts.231,Фреа,Frea,,Frea,,,,,,,,,,,,Фреа,Đan Mai
f_name.gwelts.232,Ганель,Hanel,,Hanel,,,,,,,,,,,,Аннель,Diệu Thư
f_name.gwelts.233,Йора,Jora,,Jora,,,,,,,,,,,,Йора,Dung Liên
f_name.gwelts.234,Мера,Mera,,Mera,,,,,,,,,,,,Мера,Duyên Tường
f_name.gwelts.235,Нера,Nera,,Nera,,,,,,,,,,,,Нера,Đan Nhung
f_name.gwelts.236,Пола,Pola,,Pola,,,,,,,,,,,,Пола,Diệu Lệ
f_name.gwelts.237,Рика,Rika,,Rika,,,,,,,,,,,,Ріка,Dung Hương
f_name.gwelts.238,Хельма,Helma,,Helma,,,,,,,,,,,,Гельма,Duyên Hồng
f_name.gwelts.239,Херта,Herta,,Herta,,,,,,,,,,,,Герда,Đan Yến
f_name.gwelts.240,Идна,Idna,,Idna,,,,,,,,,,,,Ідна,Diệu Diệp
f_name.gwelts.241,Инка,Inka,,Inka,,,,,,,,,,,,Інка,Elina Mai
f_name.gwelts.242,Йара,Jara,,Jara,,,,,,,,,,,,Яра,Emily Thảo
f_name.gwelts.243,Йора,Jora,,Jora,,,,,,,,,,,,Йора,Emília Quyên
f_name.gwelts.244,Кельда,Kelda,,Kelda,,,,,,,,,,,,Кельда,Elsa Ngọc
f_name.gwelts.245,Кенна,Kenna,,Kenna,,,,,,,,,,,,Кенна,Esme Hạnh
f_name.gwelts.246,Лайма,Laima,,Laima,,,,,,,,,,,,Лайма,Eri Nhi
f_name.gwelts.247,Леда,Leda,,Leda,,,,,,,,,,,,Леда,Eri Thư
f_name.gwelts.248,Лени,Leni,,Leni,,,,,,,,,,,,Лені,Elena Linh
f_name.gwelts.249,Нита,Nita,,Nita,,,,,,,,,,,,Ніта,Eva Diệp
f_name.gwelts.250,Лира,Lira,,Lira,,,,,,,,,,,,Ліра,Eloise Hương
f_name.gwelts.251,Лита,Lita,,Lita,,,,,,,,,,,,Літа,Elise Mai
f_name.gwelts.252,Лива,Liva,,Liva,,,,,,,,,,,,Ліва,Ember Thúy
f_name.gwelts.253,Марга,Marga,,Marga,,,,,,,,,,,,Марґа,Eden Nhi
f_name.gwelts.254,Мета,Meta,,Mita,,,,,,,,,,,,Мета,Emilie Dung
f_name.gwelts.255,Мила,Mila,,Mila,,,,,,,,,,,,Міла,Ethel Tuyết
f_name.gwelts.256,Нанда,Nanda,,Nanda,,,,,,,,,,,,Нанда,Elsa Lan
f_name.gwelts.257,Нельда,Nelda,,Nelda,,,,,,,,,,,,Нельда,Elvira Thanh
f_name.gwelts.258,Нира,Nira,,Nira,,,,,,,,,,,,Ніра,Evie Nguyệt
f_name.gwelts.259,Нита,Nita,,Nita,,,,,,,,,,,,Ніта,Estelle Tâm
f_name.gwelts.260,Орла,Orla,,Orla,,,,,,,,,,,,Орла,Evelyn Vân
f_name.gwelts.261,Отта,Otta,,Otta,,,,,,,,,,,,Отта,Eri Hồng
f_name.gwelts.262,Рада,Rada,,Rada,,,,,,,,,,,,Рада,Eileen Hòa
f_name.gwelts.263,Рима,Rima,,Rima,,,,,,,,,,,,Ріма,Ema Yến
f_name.gwelts.264,Рона,Rona,,Rona,,,,,,,,,,,,Рона,Emie Nhu
f_name.gwelts.265,Рози,Rosi,,Rosi,,,,,,,,,,,,Розі,Estella Hạnh
f_name.gwelts.266,Руна,Runa,,Runa,,,,,,,,,,,,Руна,Eda Nhung
f_name.gwelts.267,Сельда,Selda,,Selda,,,,,,,,,,,,Сельда,Eris Thủy
f_name.gwelts.268,Сира,Sira,,Sira,,,,,,,,,,,,Зіра,Enya Liên
f_name.gwelts.269,Сола,Sola,,Sola,,,,,,,,,,,,Сола,Elina Quyên
f_name.gwelts.270,Стина,Stina,,Stina,,,,,,,,,,,,Стена,Emilia Diệp
f_name.gwelts.271,Свеа,Svea,,Svea,,,,,,,,,,,,Свеа,Elia Mai
f_name.gwelts.272,Тара,Tara,,Tara,,,,,,,,,,,,Тара,Eliana Hương
f_name.gwelts.273,Тесна,Tesna,,Tesna,,,,,,,,,,,,Тесна,Estella Ái
f_name.gwelts.274,Теа,Thea,,Thea,,,,,,,,,,,,Тея,Emina Tuyết
f_name.gwelts.275,Тора,Tora,,Tora,,,,,,,,,,,,Тора,Eliane Vân
f_name.gwelts.276,Вада,Vada,,Vada,,,,,,,,,,,,Вада,Elysia Thúy
f_name.gwelts.277,Веда,Veda,,Veda,,,,,,,,,,,,Веда,Eda Linh
f_name.gwelts.278,Вена,Vena,,Vena,,,,,,,,,,,,Вена,Enid Hồng
f_name.gwelts.279,Вида,Vida,,Vida,,,,,,,,,,,,Віда,Elle Tường
f_name.gwelts.280,Вила,Vila,,Vila,,,,,,,,,,,,Вілла,Ethel Quyên
f_name.gwelts.281,Вива,Viva,,Viva,,,,,,,,,,,,Вівва,Ember Mai
f_name.gwelts.282,Яра,Yara,,Yara,,,,,,,,,,,,Ярра,Eri Thanh
f_name.gwelts.283,Илса,Ylsa,,Ylsa,,,,,,,,,,,,Ільза,Esmé Hương
f_name.gwelts.284,Ильва,Ylva,,Ylva,,,,,,,,,,,,Ільва,Elin Thảo
