advisor.slaves_unhappy,вероятность восстания пленников выше 0,несчастье,Пленники несчастны,The prisoners are unhappy.,The prisoners are unhappy.,Vězni jsou nespokojení.,Os prisioneiros estão infelizes.,Los prisioneros están descontentos.,Jeńcy są nieszczęśliwi.,囚犯感到不满。,囚犯們心懷不滿。,囚人の不満が募っています。,수감자들이 불행합니다.,Die Sklaven sind unzufrieden.,Les esclaves sont maussades.,I prigionieri sono infelici.,Mahkûmlar mutsuz.,A foglyok elégedetlenek.,В'язні незадоволені.,Các tù nhân không hài lòng.
advisor.peasants_unhappy,счастье крестьян ниже 30,несчастье,Крестьяне несчастны,The peasants are unhappy.,The peasants are unhappy.,Rolníci jsou nespokojení.,Os camponeses estão infelizes.,Los campesinos están descontentos.,Chłopi są nieszczęśliwi.,平民感到不满。,庶民們心懷不滿。,農民の不満が募っています。,농민들이 불행합니다.,Die Bauern sind unzufrieden.,La population paysanne est maussade.,I popolani sono infelici.,Köylüler mutsuz.,A parasztok elégedetlenek.,Селяни незадоволені.,Các nông dân không hài lòng.
advisor.culture_unhappy,вероятность погрома выше 0,несчатье,Представители культуры несчастны,Members of some cultures are unhappy.,Members of some cultures are unhappy.,Členové některých kultur jsou nespokojení.,Membros de algumas culturas estão infelizes.,Los miembros de algunas culturas están descontentos.,Przedstawiciele niektórych kultur są nieszczęśliwi.,一些文化的成员感到不满。,部分文化背景的成員心懷不滿。,特定の文化圏の人々の不満が募っています。,일부 문화 구성원들이 불행합니다.,Mitglieder einiger Kulturen sind unzufrieden.,Des personnes appartenant à certaines cultures sont maussades.,I membri di alcune culture sono infelici.,Bazı kültürlerin insanları mutsuz.,Egyes kultúrák tagjai elégedetlenek.,Представники деяких культур незадоволені.,Các thành viên của một số nền văn hóa không hài lòng.
advisor.warriros_unhappy,вероятность восстания выше 0,несчатье,Воины несчастны,Warriors are unhappy.,Warriors are unhappy.,Válečníci jsou nespokojení.,Os guerreiros estão infelizes.,Los guerreros están descontentos.,Wojownicy są nieszczęśliwi.,战士感到不满。,戰士們心懷不滿。,戦士の不満が募っています。,전사들이 불행합니다.,Krieger sind unzufrieden.,Les soldats sont maussades.,I guerrieri sono infelici.,Savaşçılar mutsuz.,A harcosok elégedetlenek.,Воїни незадоволені.,Các chiến binh không hài lòng.
advisor.depression,лорд в депрессии,депрессия,Лорд в депрессии,A lord is in depression.,A lord is in depression.,Lord má depresi.,Um nobre está em depressão.,Un señor tiene depresión.,Lord popadł w depresję.,一位领主陷入了抑郁。,一名貴族陷入憂鬱了。,領主が落ち込んでいます。,영주가 우울증에 걸렸습니다.,Ein Lord leidet an Depressionen.,Un seigneur ou une dame déprime.,Un nobile soffre di depressione.,Bir asilzade depresyonda.,Az egyik nemes levert.,У вельможі депресія.,Một lãnh chúa đang bị trầm cảm.
advisor.feud,"один лорд ненавидит другого, 2 день подряд",ненависть (красна яморда),Вражда между лордами,There is rivalry among lords.,There is rivalry among lords.,Mezi lordy panuje rivalita.,Há rivalidade entre os nobres.,Hay rivalidad entre señores.,Trwa rywalizacja między lordami.,领主之间存在竞争。,有貴族彼此仇視。,領主同士の対立があります。,영주들 사이에 경쟁이 생겼습니다.,Es gibt eine Rivalität unter den Lords.,Il y a des rivalités au sein de la noblesse.,C'è rivalità tra i nobili.,Asilzadeler arasında rekabet başladı.,A nemesek rivalizálnak.,Між вельможами ворожнеча.,Có sự cạnh tranh giữa các lãnh chúa.
advisor.train_sodiers,"трен поле не создано или простаивает 3 день подряд, 5+ день",мечи,Солдаты не обучаются,Soldiers are not being trained.,Soldiers are not being trained.,Vojáci se necvičí.,Os soldados não estão sendo treinados.,No se está entrenando a los guerreros.,Wojownicy nie są szkoleni.,士兵没有接受训练。,有未受訓的士兵。,兵士の訓練が行き届いていません。,전사들이 훈련을 받지 않고 있습니다.,Soldaten werden nicht ausgebildet.,Les soldats ne sont pas entraînés.,I soldati non ricevono un addestramento.,Askerler eğitim görmüyor.,Nem képeznek katonákat.,Солдати не проходять вишкіл.,Lính không được huấn luyện.
advisor.knowledge,книга куплена но не изучается 2 день подряд,таск изучения,Книги не изучаются,Books are not being studied.,Books are not being studied.,Knihy nikdo nestuduje.,Os livros não estão sendo estudados.,No se están estudiando los libros.,Księgi nie są badane.,尚未研究书籍。,有未研讀的書籍。,本の研究が進んでいません。,책을 연구하지 않고 있습니다.,Bücher werden nicht studiert.,Personne n'étudie les livres.,Nessuno studia i libri.,Kitaplar okunmuyor.,Nem tanulmányoznak könyveket.,Книги не вивчають.,Sách không được nghiên cứu.
advisor.produce_goods,"нет таска на производство товара, хотя есть его ингридиенты, 2 день подряд",шестеренка,Товар не производится,Production is stagnant.,Production is stagnant.,Výroba stagnuje.,A produção está estagnada.,La producción está estancada.,Stagnacja w produkcji.,生产停滞。,生產停擺了。,生産が停滞しています。,생산이 부진합니다.,Die Produktion stagniert.,La production stagne.,La produzione langue.,Üretim durgunlaştı.,A termelés stagnál.,Застій у виробництві.,Sản xuất đang bị trì trệ.
advisor.homeless,"бездомный лорд, 3 день подряд, 3+ день",дом,У лорда нет жилья,A lord has no housing.,A lord has no housing.,Lord nemá ubytování.,Um nobre está sem casa.,Un señor no tiene alojamiento.,Lord nie ma mieszkania.,一位领主没有住房。,一名貴族沒有住所。,領主の邸宅がありません。,영주에게 주거가 없습니다.,Ein Lord hat kein Wohnhaus.,Un seigneur ou une dame n'a pas de logement.,Un nobile è senza dimora.,Bir asilzadenin evi yok.,Az egyik nemesnek nincs szállása.,У вельможі немає житла.,Một lãnh chúa không có chỗ ở.
advisor.efffective,"есть здание, в котором не выставлен приоритет по культуре, хотя такая культура есть",инструкция,Здание может работать эффективней,A building could operate more efficiently.,A building could operate more efficiently.,Budova by mohla fungovat efektivněji.,A produção de um edifício poderia ser mais eficiente.,Un edificio podría funcionar de forma más eficiente.,Budynek może działać wydajniej.,一栋建筑可以更有效率地运转。,一所建築未達最佳運作效率。,建物の効率を上げる余地があります。,건물을 더욱 효율적으로 운영할 수 있습니다.,Ein Gebäude könnte effizienter betrieben werden.,Un bâtiment pourrait être plus efficace.,Un edificio potrebbe funzionare con più efficienza.,Bir bina daha verimli bir şekilde işleyebilir.,Az egyik épület hatékonyabban is működhetne.,Споруда може працювати продуктивніше.,Một tòa nhà có thể hoạt động hiệu quả hơn.
advisor.bandit_camp,"лагерь бандитов 3 день подряд, 4+ день",бандит,Лагерь бандитов растет,A bandit camp is growing.,A bandit camp is growing.,Zbojnický tábor se rozrůstá.,Um acampamento de bandidos está crescendo.,Un campamento de bandidos está creciendo.,Obóz bandytów się rozrasta.,一个强盗营地正在壮大。,一個劫匪營地正在擴張。,盗賊の野営地が拡大しています。,도적 진영이 커지고 있습니다.,Ein Banditenlager wächst.,Un camp de bandits s'agrandit.,Un accampamento di fuorilegge è in espansione.,Bir haydut kampı büyüyor.,Az egyik banditatábor gyarapodik.,Розбійницький табір розростається.,Một trại cướp đang phát triển.
advisor.dont_like,"сосед относится к нам ниже -5, и его армия не слабее нашей",иконка дизлайка,Опасный противник по соседству,We have a dangerous neighbor.,We have a dangerous neighbor.,Máme nebezpečného souseda.,Temos um vizinho perigoso.,Tenemos un vecino peligroso.,Mamy groźnego sąsiada.,邻邦对我们有威胁。,一個鄰近勢力可能威脅到我們。,危険な隣人がいます。,위험한 이웃이 있습니다.,Wir haben einen gefährlichen Nachbarn,Une province voisine représente un danger.,Abbiamo un vicino pericoloso.,Tehlikeli bir komşumuz var.,Van egy veszélyes szomszédunk.,У нас небезпечний сусід.,Chúng ta có một hàng xóm nguy hiểm.
advisor.intrigues,сосед с отношением ниже -15,змея,Враг строит козни,An enemy is plotting.,An enemy is plotting.,Nepřítel kuje pikle.,Um inimigo está tramando.,Un enemigo está conspirando.,Wróg knuje.,一个敌人正在密谋。,有敵人正圖謀不軌。,敵が陰謀を企てています。,적이 음모를 꾸미고 있습니다.,Ein Feind plant eine Verschwörung.,Un ennemi complote contre vous.,Un nemico sta complottando.,Bir düşman hazırlık yapıyor.,Az egyik ellenségünk terveket sző.,Ворог щось планує.,Kẻ thù đang âm thầm toan tính.
advisor.desire,"желание лорда усилилось, и прошло 2 дня",несчастье,Лорд одержим желанием,A lord is consumed by desire.,A lord is consumed by desire.,Lorda sžírá touha.,Um nobre está consumido pelo desejo.,Un señor está consumido por el deseo.,Lorda pochłania pragnienie.,一位领主被欲望蒙蔽了双眼。,一名貴族被慾望吞噬了。,領主は欲望におぼれています。,영주가 욕망에 사로잡혔습니다.,Ein Lord wird von Sehnsucht zerfressen.,Le désir ronge un seigneur ou une dame.,Un nobile è consumato dal desiderio.,Bir asilzade arzusuna yenik düştü.,Az egyik nemest elemészti a vágy.,Вельможа згорає від бажання.,Một lãnh chúa bị chi phối bởi dục vọng.
advisor.one_title,остался 1 свободный титул,корона,Остался один титул,Only one title remains.,Only one title remains.,Zůstává pouze jeden titul.,Só resta um título.,Solo queda un título.,Pozostał tyko jeden tytuł.,只剩下一个爵位。,只剩一個爵位名額了。,爵位が1つしか残っていません。,작위가 하나만 남았습니다.,Nur ein Titel ist noch übrig.,Il ne reste qu'un seul titre de noblesse.,Resta un solo titolo.,Yalnızca tek bir ünvan kaldı.,Csak egy cím maradt.,Залишився тільки один титул.,Chỉ còn một danh hiệu.
advisor.enemy,"на гк есть враг ниже 25, 2 день подряд",вражда,Враг ждет подходящего момента,An enemy is waiting for the right moment.,An enemy is waiting for the right moment.,Nepřítel vyčkává na správný okamžik.,Um inimigo está aguardando o momento certo.,Un enemigo está esperando al momento justo.,Wróg czeka na odpowiedni moment.,一个敌人正在伺机而动。,有敵人正伺機而動。,敵はその時を待ち構えています。,적이 적기를 기다리고 있습니다.,Ein Feind wartet auf den richtigen Moment.,Un ennemi attend le moment opportun.,Un nemico attende il momento opportuno.,Bir düşman doğru anı bekliyor.,Az ellenség a megfelelő pillanatra vár.,Ворог вичікує слушного моменту.,Kẻ thù đang chờ đợi thời điểm thích hợp.
advisor.slaves_hungry,пленники голодают,иконка рабов,Пленники голодают,The prisoners are starving.,The prisoners are starving.,Vězni hladoví.,Os prisioneiros estão passando fome.,Los prisioneros se mueren de hambre.,Jeńcy głodują.,囚犯正在挨饿。,囚犯們正在挨餓。,囚人が飢えています。,수감자들이 굶주리고 있습니다.,Die Sklaven verhungern.,Les esclaves sont affamés.,I prigionieri hanno fame.,Mahkûmlar açlıktan kırılıyor.,A foglyok éheznek.,В'язні голодують.,Các tù nhân đang bị đói.
advisor.peasants_hungry,крестьяне голодают,иконка крестьян,Крестьяне голодают,The peasants are starving.,The peasants are starving.,Rolníci hladoví.,Os camponeses estão passando fome.,Los campesinos se mueren de hambre.,Chłopi głodują.,平民正在挨饿。,庶民們正在挨餓。,農民が飢えています。,농민들이 굶주리고 있습니다.,Die Bauern verhungern.,La population paysanne est affamée.,I popolani hanno fame.,Köylüler açlıktan kırılıyor.,A parasztok éheznek.,Селяни голодують.,Các nông dân đang bị đói.
advisor.not_enought_tavernas,не  хватает таверн - 30% не могут попасть в таверну,пиво,Не хватает Таверн,We need taverns.,We need taverns.,Potřebujeme krčmy.,Precisamos de tavernas.,Necesitamos tabernas.,Potrzebujemy karczm.,我们需要酒馆。,我們需要酒館。,酒場が必要です。,술집이 필요합니다.,Wir brauchen Tavernen.,Il nous faut des tavernes.,Ci servono delle locande.,Tavernalara ihtiyacımız var.,Kocsmákra van szükségünk.,Потрібні корчми.,Chúng ta cần các quán rượu.
advisor.no_temples,не хватает храмов - 30% граждан не попадают в храм,крест софии,Не хватает Храмов,We need temples.,We need temples.,Potřebujeme chrámy.,Precisamos de templos.,Necesitamos templos.,Potrzebujemy świątyń.,我们需要圣堂。,我們需要教堂。,礼拝堂が必要です。,사원이 필요합니다.,Wir brauchen Tempel.,Il nous faut des temples.,Ci servono dei templi.,Tapınaklara ihtiyacımız var.,Templomokra van szükségünk.,Потрібні храми.,Chúng ta cần các đền thờ.
advisor.no_barracks,не хватает казарм - больше 30% солдат живут на улице,скрещенные мечи,Не хватает Казарм,We need barracks.,We need barracks.,Potřebujeme kasárny.,Precisamos de uma caserna.,Necesitamos barracones.,Potrzebujemy koszar.,我们需要兵营。,我們需要營房。,兵舎が必要です。,병영이 필요합니다.,Wir brauchen Kasernen.,Il nous faut des casernes.,Ci servono delle caserme.,Kışlalara ihtiyacımız var,Kaszárnyára van szükségünk.,Потрібні казарми.,Chúng ta cần các doanh trại.
advisor.rutabaga_poison,30% населения болеет тифом,,Эпидемия Брюквенного тифа,Rutabaga Typhoid Epidemic,Rutabaga Typhoid Epidemic,Epidemie tuřínového tyfu,Epidemia de febre da couve-nabo.,Epidemia de tifus de colinabo,Epidemia brukwiowego tyfusu.,芜菁热症疫情,流行性洋蕪菁熱,ルタバガ腸チフスの流行,루타바가 열병 전염병,Steckrübenfieber-Epidemie,Épidémie de fièvre du rutabaga,Epidemia di tifo delle rape,Şalgam Humması Salgını,Karórépaláz-járvány,Епідемія бруквяної лихоманки,Dịch tả Rutabaga
advisor.inflamed_wound_lords,,,Воспаленная рана,Inflamed wound,Inflamed wound,Zanícená rána,Ferida infeccionada.,Herida infectada,Zakażenie rany.,发炎伤口,傷口發炎,傷口の炎症,염증성 상처,Entzündete Wunde,Blessure infectée,Ferita infiammata,İltihaplanan yara,Elfertőződött seb,Запалена рана,Vết thương bị viêm
advisor.inflamed_wound_warriors,,,Воспаленные раны у солдат,Soldiers have inflamed wounds.,Soldiers have inflamed wounds.,Vojáci mají zanícené rány.,Os soldados estão com feridas infeccionadas.,Los guerreros tienen heridas infectadas.,Żołnierze mają zakażone rany.,士兵伤口发炎。,士兵的傷口發炎了。,兵士の傷口が炎症を起こしています。,전사들에게 염증성 상처가 생겼습니다.,Soldaten haben entzündete Wunden.,Les blessures de certains soldats se sont infectées.,I soldati hanno ferite infiammate.,Askerlerin yaraları iltihaplandı.,A katonák sebei elfertőződtek.,У солдатів запалені рани.,Lính bị vết thương viêm.
advisor.free_lord_expire_soon,,,Контракт заканчивается,Contract expires.,Contract expires.,Smlouvě končí platnost.,O contrato vai expirar.,El contrato expira.,Umowa wygasła.,契约已失效。,合約到期了。,契約が満了しました。,계약이 만료되었습니다.,Vertrag läuft aus.,Le contrat expire.,Contratto scaduto.,Sözleşme sona eriyor.,Lejár egy szerződés.,Угода скоро вичерпається.,Hợp đồng sắp hết hạn.
advisor.no_problems,,,Нет проблем,There are no problems.,There are no problems.,Nejsou žádné problémy.,Não há problemas.,No hay problemas.,Brak problemów.,目前没有问题。,目前沒有問題。,問題はありません。,문제가 없습니다.,Es gibt keine Probleme.,Il n'y a aucun problème.,Non ci sono problemi.,Hiçbir sorun yok.,Nincs probléma.,Проблем немає.,Không có vấn đề gì.
advisor.no_tavernas,,,Таверны не работают,Taverns are not functioning.,Taverns are not functioning.,Krčmy nefungují.,As tavernas não estão funcionando.,Las tabernas no funcionan.,Karczmy nie działają.,酒馆未运营。,酒館沒有在運作。,酒場がうまく機能していません。,술집이 작동하지 않습니다.,Tavernen funktionieren nicht.,Les tavernes ne sont pas opérationnelles.,Le locande non sono in funzione.,Tavernalar işlemiyor.,A kocsmák nem működnek.,Корчми не працюють.,Các quán rượu không hoạt động.
advisor.no_altar,,,Людям негде молиться,People have nowhere to pray.,People have nowhere to pray.,Lidé se nemají kde modlit.,As pessoas não têm onde rezar.,La gente no tiene donde rezar.,Ludzie nie mają miejsca modłów.,民众无处祈祷。,人民無處禱告。,人々は祈る場所がありません。,사람들이 기도할 곳이 없습니다.,Die Leute können nirgendwo beten.,Il n'y a aucun lieu de prière.,La gente non ha luoghi di culto.,İnsanların dua edecek yeri yok.,Az embereknek nincs hol imádkozniuk.,Людям ніде молитися.,Người dân không có nơi để cầu nguyện.
advisor.no_allcohol_production,,,Отсутствует производство алкоголя,Alcohol production is absent.,Alcohol production is absent.,Chybí výroba alkoholu.,Não há produção de bebidas.,No hay producción de alcohol.,Brak produkcji alkoholu.,无酒精生产。,沒有在生產酒。,アルコールは生産されていません。,술 생산이 이뤄지지 않습니다.,Es gibt keine Alkoholproduktion.,Il n'y a aucune production d'alcool.,Non vengono prodotti alcolici.,Alkol üretilmiyor.,Nincs alkoholtermelés.,Немає виробництва алкоголю.,Sản xuất rượu không có.
advisor.no_food_production,,,"Отсутствует производство еды ",Food production is absent.,Food production is absent.,Chybí výroba jídla.,Não há produção alimentícia.,No hay producción de comida.,Brak produkcji żywności.,无食物生产。,沒有在生產食物。,食料は生産されていません。,음식 생산이 이뤄지지 않습니다.,Es gibt keine Nahrungsproduktion.,Il n'y a aucune production de nourriture.,Non viene prodotto cibo.,Gıda üretilmiyor.,Nincs élelemtermelés.,Немає виробництва харчів.,Sản xuất thực phẩm không có.
advisor.upgrade_woorcutter,,,Улучшите Лесопилки,Our lumbermills need upgrading.,Our lumbermills need upgrading.,Naše pily potřebují vylepšit.,Precisamos melhorar as serrarias.,Nuestras serrerías necesitan mejoras.,Nasze tartaki potrzebują ulepszeń.,伐木场需要升级。,伐木場需要升級。,製材所にはアップグレードが必要です。,제재소를 업그레이드해야 합니다.,Unsere Holzfällerlager müssen aufgewertet werden.,Nos scieries devraient être améliorées.,Le segherie vanno migliorate.,Kereste fabrikalarımızın yükseltilmesi gerek.,A fűrészmalmainkat fejleszteni kell.,Наші лісопильні потребують вдосконалення.,Các nhà máy chế biến gỗ của chúng ta cần nâng cấp.
advisor.small_army,когда армия меньше 7 человек,скрещенные мечи,Очень слабая армия,We have a very weak army.,We have a very weak army.,Máme velmi slabé vojsko.,Temos um exército muito fraco.,Tenemos un ejército muy débil.,Mamy bardzo słabą armię.,我们的军队很弱。,我們的軍隊力量薄弱。,軍事力に不安があります。,군대가 너무 약합니다.,Unsere Armee ist äußerst schwach.,Notre armée est particulièrement faible.,Il nostro esercito è debole.,Ordumuz çok zayıf.,Nagyon gyenge a hadseregünk.,У нас дуже слабке військо.,Chúng ta có một đội quân rất yếu.
advisor.low_fertility,когда фертильность ниже 80%. Уходит само через 2 суток,значок ржи,Угроза снижения плодородия,We face a threat of reduced fertility.,We face a threat of reduced fertility.,Hrozí nám snížená úrodnost.,Enfrentamos uma ameaça de baixa fertilidade.,Nos enfrentamos a la amenaza de una fertilidad reducida.,Zagraża nam spadek żyzności gleby.,我们面临着土壤肥力下降的威胁。,我們面臨生育率下降的威脅。,肥沃度の低下に直面しています。,생식력 감소로 위험에 처했습니다.,Es droht eine reduzierte Fruchtbarkeit.,La baisse de fertilité est une menace pour notre cité.,Incombe la minaccia di una riduzione della fertilità.,Düşük verimlilik tehdidiyle karşı karşıyayız.,Fennáll a termékenység csökkenésének veszélye.,Перед нами загроза зменшення родючості.,Chúng ta đối mặt với nguy cơ giảm khả năng sinh sản.
advisor.low_iron,"когда запасов железа на текущем уровне осталось меньше 50

Уходит само чере 2 суток",значок железа,Запасы Железа истощаются,Iron reserves are depleting.,Iron reserves are depleting.,Zásoby železa docházejí.,As reservas de ferro estão se esgotando.,Las reservas de hierro se están agotando.,Złoża żelaza wkrótce się wyczerpią.,铁的储备即将耗尽。,鐵的存量正在耗盡。,鉄の埋蔵量は枯渇しつつあります。,철 매장량이 고갈되어갑니다.,Die Eisenreserven gehen zur Neige.,Nos réserves de fer s'amenuisent.,I giacimenti di ferro si stanno esaurendo.,Demir rezervleri tükeniyor.,A vastartalékok kimerülnek.,Запаси заліза вичерпуються.,Dự trữ sắt đang cạn kiệt.
advisor.slaves_run,,значок рабов,Пленники плохо охраняются,Prisoners are poorly guarded.,Prisoners are poorly guarded.,Vězni jsou špatně hlídaní.,Os prisioneiros não estão sendo bem vigiados.,Los prisioneros están mal vigilados.,Jeńcy są kiepsko pilnowani.,囚犯看守并不严密。,囚犯未受到嚴格看守。,囚人の警備が手薄になっています。,수감자가 제대로 감시받지 않습니다.,Sklaven sind unzureichend bewacht.,Les esclaves ne sont pas assez bien surveillés.,La sorveglianza dei prigionieri è insufficiente.,Mahkûmların koruması yetersiz.,A foglyokat rosszul őrzik.,В'язнів погано охороняють.,Các tù nhân bị canh gác kém.
