Key,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
hello.vassal.3,,Моему слуге.,To my servant:,To my servant:,Mému služebníkovi:,Ao meu servo:,A mi sirviente:,Do mego sługi:,致我的仆人：,致吾附庸：,我が召使いへ：,"시종에게,",An meinen Diener:,"À mon feudataire,","Servile seguace,",Hizmetkârıma:,"Szolgám,",Моєму слузі:,Đến người hầu của tôi:
hello.suzeren.1,если сюзерен и отншоения -25 +25,Моему великодушному сюзерену.,To my generous overlord:,To my generous overlord:,Mému štědrému vládci:,Ao meu generoso soberano:,A mi generoso señor:,Do mego hojnego pana:,致我慷慨的大领主：,敬吾英主：,寛大なる大君主へ：,"자비로운 통치자에게,",An meinen großzügigen Herrn:,"À mon glorieux seigneur,","Indulgente maestà,",Cömert derebeyime:,"Nagylelkű uram,",Моєму щедрому правителю:,Đến vị lãnh chúa hào phóng của tôi:
hello.suzeren.2,,Моему господину.,To my lord:,To my lord:,Mému pánovi:,Ao meu nobre:,A mi señor:,Do mego władcy:,致我的领主：,敬吾宗主：,我が領主へ：,"영주에게,",An meinen Lord:,"À mon seigneur,","Illustre nobile,",Asilzademe:,"Uram,",Моєму правителю:,Đến lãnh chúa của tôi:
hello.suzeren.3,,Моему повелителю.,To my sovereign:,To my sovereign:,Mému vladaři:,Ao meu soberano:,A mi soberano:,Do mego suzerena:,致我的君主：,敬吾領主：,我が君主へ：,"국왕에게,",An mein Oberhaupt:,"À mon suzerain,","Eccelsa maestà,",Hükümdarıma:,"Uralkodóm,",Моєму сюзерену:,Đến quân chủ của tôi:
hello.bad.1," отошения ниже -25","Потомку пленника и шлюхи,","Bastard of a prisoner and a harlot,","Bastard of a prisoner and a harlot,","Parchante z lůna nevěstky a vězně,","Cria ilegítima de um prisioneiro e uma prostituta,",Bastardo de un prisionero y una ramera:,"Potomku ladacznicy i jeńca,",囚犯和妓女的杂种，,致狗娘養的雜種：,囚人と娼婦の落とし子へ、,"수감자와 매춘부의 사생아여,","Bastard eines Sklaven und seine Metze,","À l'enfant illégitime d'un esclave et d'une traînée,","Canaglia figlia di un prigioniero e una meretrice,","Bir mahkûmla kahpenin piçi,",Te bűnözők és szajhák fattya!,Байстрюче в'язня і хвойди!,"Con hoang của tù nhân và kẻ lăng nhăng,"
hello.bad.2,,"Трусу и убийце,","Coward and murderer,","Coward and murderer,","Zbabělče a vrahu,","Covarde e assassino,",Cobarde y asesino:,"Tchórzu i morderco,",懦夫和凶手，,致無恥的殺人兇手：,臆病者の殺人者へ、,"겁쟁이이자 살인마여,","Feigling und Mörder,","Au pleutre assassin,","Vile omicida,","Korkak katil,",Te gyáva gyilkos!,Боягузе і вбивце!,"Kẻ hèn nhát và kẻ sát nhân,"
hello.bad.3,,"Подлому мошеннику,","Vile deceiver,","Vile deceiver,","Odporný podvodníku,","Presença malévola,",Vil mentiroso:,"Niecny obłudniku,",卑鄙的骗子，,致陰險小人：,卑劣な詐欺師へ、,"부덕한 사기꾼이여,","Elendiger Betrüger,","Au vil escroc,","Spregevole lestofante,","Alçak yalancı,",Te álnok csaló!,Підлий брехуне!,"Kẻ lừa đảo đê tiện,"
hello.bad.4,,"Моему врагу,",To my enemy:,To my enemy:,Mému nepříteli:,Ao meu inimigo:,A mi enemigo:,"Wrogu mój,",致我的敌人：,致吾寇讎：,我が敵へ：,"나의 적에게,",An meinen Feind:,"À mon ennemi,","Miserabile rivale,",Düşmanıma:,Ellenségem:,Моєму ворогу:,Đến kẻ thù của tôi:
hello.bad.5,,"Бесчестному бандиту,",To the dishonorable bandit:,To the dishonorable bandit:,Bezectnému zbojníkovi:,Ao desonroso bandido:,Al bandido indecente:,"Niegodziwy bandyto,",致卑鄙的强盗：,致宵小匪類之徒：,不名誉な盗賊へ：,"비열한 도적에게,",An den ehrlosen Banditen:,"Au misérable bandit,","Disonorevole canaglia,",Şerefsiz hayduda:,A becstelen banditának:,Безчесному розбійнику:,Đến tên cướp vô danh dự:
hello.bad.6,,"Главе свинарника, известного как {faction_name},","Head of the pigfarm known as {faction_name},","Head of the pigfarm known as {faction_name},","Hlavě chléva jménem {faction_name},","Chefe da fazenda de porcos, conhecida como {faction_name},",Líder de la pocilga conocida como {faction_name}:,"Władco chlewu zwanego {faction_name},",养猪场的负责人{faction_name}，,致{faction_name}鼠窩之首：,{faction_name}という名の養豚場の責任者へ、,"돼지 농장 {faction_name}의 우두머리에게,","An das Oberhaupt des Schweinestalls namens {faction_name},","À la couronne de la porcherie connue sous le nom de {faction_name},","All'infame monarca di {faction_name},","{faction_name} olarak bilinen domuz çiftliği reisine,",A(z) {faction_name} nevű disznóól vezetőjének!,"Начальнику свиноферми, відомої як {faction_name}!","Người đứng đầu trang trại lợn được biết đến như {faction_name},"
letter.sign.1,подписи,"Подписано собственноручно,","Signed by my own hand,","Signed by my own hand,",Vlastní rukou,"Assinado por minhas próprias mãos,","Firmado de mi puño y letra,","Własnoręcznie podpisany,",本人亲笔签名，,手此 封緘,私自身による署名,내 손으로 직접 서명.,"Eigenhändig gezeichnet,","Signé de ma main,","Firmato di mio pugno,","Kendi imzam,",Saját kezűleg:,"Підписано моєю рукою,","Đã ký bằng tay của tôi,"
letter.sign.2,,"Подписано в присутствии епископа,","Signed in the presence of the bishop,","Signed in the presence of the bishop,",Podepsáno v přítomnosti biskupa,"Assinado na presença do bispado,","Firmado en presencia del obispo,","Podpisany w obecności biskupa,",在主教面前签署，,承主教鑒緘,司教立会いのもと署名,주교의 참석하에 서명.,"Gezeichnet in Anwesenheit des Bischofs,","Signé en présence de l'évêque,","Firmato in presenza del vescovo,","Piskopos huzurunda imzalandı,","Aláírtam a püspök előtt,","Підписано за присутності єпископа,","Đã ký trước sự hiện diện của giám mục,"
letter.sign.3,,"Молюсь за вашу душу,","I pray for your soul,","I pray for your soul,",Modlím se za tvou duši,"Rezo por sua alma,","Rezo por tu alma,","Modlę się o twą duszę,",我为你的灵魂祈祷，,祝禱安康,あなたの魂に祈りを捧げる,당신의 영혼을 위해 기도하며.,"Ich bete für deine Seele,","Je prie pour votre âme,","Prego per la tua anima,","Ruhun için dua ediyorum,","Imádkozom a lelkedért,","Молюся за вашу душу,","Tôi cầu nguyện cho linh hồn của bạn,"
letter.sign.4,,"Подписано мной и никем другим,","Signed by me and no one else,","Signed by me and no one else,",Podepsáno mnou a nikým jiným,"Assinado por mim e mais ninguém,","Firmado por mí, y solo por mí,","Niżej i samodzielnie podpisany,",仅代表本人签名，,手此 封緘,他の誰でもない、私自身による署名,누구도 아닌 내가 직접 서명.,"Gezeichnet persönlich und von niemand anderes Hand,","Signé par moi et personne d'autre,","Firmato da me soltanto,","Yalnızca benim tarafımdan imzalandı,","Aláírtam én, s nem más,","Підписано мною й ніким іншим,","Đã ký bởi tôi và không ai khác,"
letter.sign.5,,"Подписано и заверено,","Signed and sealed,","Signed and sealed,",Podepsáno a zapečetěno,"Assinado e selado,","Firmado y sellado,","Podpisał i pieczętował,",签署并盖章，,手此 封緘,署名捺印済み,서명하고 봉인.,"Gezeichnet und mit Siegel,","Signé et scellé,","Firmato e sancito,","İmzalandı ve mühürlendi,","Aláírva és lepecsételve,","Підписано й запечатано,","Đã ký và đóng dấu,"
letter.sign.6,,"Подписано,","Signed,","Signed,",Podpis,"Assinado,","Firmado,","Niżej podpisany,",已签名，,手此 封緘,署名済み,서명.,"Gezeichnet,","Signé,","Firmato,","İmzalandı,","Aláírva,","Підписано,","Đã ký,"
letter.king_name,,Король {name},King {name},King {name},Král {name},Rei {name},Monarca {name},Król {name},君王，{name},{name}君王,{name}王,왕 {name},König {name},Monarque {name},Monarca {name},Hükümdar {name},{name} uralkodó,Монарх {name},Vua {name}
letter.lord_name,,Лорд {name},Lord {name},Lord {name},Lord {name},Nobre {name},Señor {name},Lord {name},领主，{name},{name}勳爵,{name}領主,영주 {name},Lord {name},Seigneur {name},Nobile {name},Asilzade {name},{name} nemes,Вельможа {name},Lãnh chúa {name}
,События,,,,,,,,,,,,,,,,,,
letter.from_lord.gone.1,Письмо от ушедшего лорда (он ушел и пишет что ты мудак,"~
Как долго я терпел твоё неуважение. Клянусь, что этот город я любил и защищал. Но хватит, я ухожу к тем, кто может оценить мои достоинства!","~
How long I endured your disrespect. I swear I loved and defended this city. But enough, I'm leaving to those who can appreciate my merits!","~
How long I endured your disrespect. I swear I loved and defended this city. But enough, I'm leaving to those who can appreciate my merits!","~
Jak dlouho snáším tvou neúctu. Přísahám, že mým cílem bylo toto město milovat a chránit. Ale dost, odcházím k těm, kteří si budou mých úspěchů vážit!","~
Suportei seu desrespeito por muito tempo. Eu jurei amar e proteger esta cidade, mas basta! Estou saindo em busca daqueles que apreciam meus méritos!","~
Llevo mucho tiempo aguantando tu falta de respeto. Juro que he amado y defendido esta ciudad. Pero hasta aquí hemos llegado. Me voy con quienes sepan apreciar mis cualidades.","~
Dość już mam Twojego braku szacunku. Przysięgam, że kocham to miasto, ale tego już za wiele. Odchodzę do kogoś, kto doceni moje talenty!","~
你向来对我不尊重，我忍很久了。我爱这座城市，并愿意誓死捍卫她。但我受够了，我要离开，去投奔赏识我的人！","~
我曾宣示效忠，竭誠戍衛我邦王城，卻長期蒙受輕慢。是可忍，孰不可忍。再會了，我將帶著這片忠心投效他邦！","~
あなたの無礼に長らく耐え忍んできた。私はこの街を愛し、守るべく戦ったことを誓う。だが、もうたくさんだ。私の功績を認めてくれる者の下へと去る！","~
그대의 무례함을 참은 지도 오래야. 난 진심으로 이 도시를 사랑하고 수호했다는 것을 맹세하지. 하지만 이젠 내 가치를 인정하는 사람들에게 갈 생각이네!","~
Wie lange muss ich deine Respektlosigkeit nun schon erdulden? Ich schwöre, ich habe diese Stadt geliebt und verteidigt. Doch es reicht. Ich gehe an einen Ort, an dem man meine Qualitäten zu schätzen weiß!","~
Combien de temps encore vais-je devoir subir votre manque de respect ? Je jure que j'ai tout fait pour aimer et défendre cette cité, mais c'en est trop. Je préfère la quitter et me tourner vers ceux qui sauront reconnaître mes vertus !","~
Ho sopportato a lungo la tua irriverenza. Giuro di aver amato e difeso questa città, ma ne ho abbastanza. Mi recherò da coloro che sapranno apprezzare i miei meriti!","~
Saygısızlığına daha fazla tahammülüm kalmadı. Bu şehri sevdiğime ve koruduğuma yemin ederim ama artık yeter, çabalarımın değerini bilecek bir yere gidiyorum!","~
Hosszan tűrtem, hogy nem tisztelsz! Esküszöm, hogy szerettem és védtem ezt a várost. De elég volt! Elmegyek oda, ahol értékelik az érdemeimet!","~
Як довго я терпів вашу неповагу. Клянуся, я любив і захищав це місто. Але досить, я йду туди, де мої заслуги цінитимуть!","~
Bao lâu tôi đã chịu đựng sự thiếu tôn trọng của bạn. Tôi thề rằng tôi đã yêu và bảo vệ thành phố này. Nhưng đủ rồi, tôi sẽ ra đi đến những người có thể đánh giá cao công lao của tôi!
"
letter.from_lord.gone.2,,"~
Не стоит королю пренебрегать своими верными помощниками. Я ухожу, и небесам клянусь, что не вернусь сюда никогда! Прощай!","~
It is not fitting for the king to neglect his loyal aides. I'm leaving, and I swear to the heavens, I will never return here! Farewell!","~
It is not fitting for the king to neglect his loyal aides. I'm leaving, and I swear to the heavens, I will never return here! Farewell!","~
Nepatří se králi, aby zanedbával své královské pomocníky. Odcházím a přísahám nebesům, že sem se už nikdy nevrátím! Sbohem!","~
Negligenciar ajudantes leais não é algo digno de um rei. Estou partindo. Juro aos céus que nunca mais retornarei! Adeus!","~
No es digno del monarca desatender a sus leales asistentes. Me voy, y juro por los cielos que no pienso regresar. ¡Adiós!","~
To niegodne, żeby król zaniedbywał swoich lojalnych poddanych. Odchodzę i przysięgam na niebiosa, że nigdy tu nie wrócę. Żegnaj!","~
君王不应该忽视他忠实的左膀右臂。我要走了，我对天发誓，我再也不会回来了！告辞！","~
見陛下如此輕視我忠實的輔佐，殊為遺憾。我將即日離邦，並且指天發誓再也不會回來！永別了！","~
忠実な側近をないがしろにするような者に王の座はふさわしくない。私はここを去る。天に誓って言おう、もうここに戻ることはない。さらばだ！","~
충성스러운 조력자를 방치하는 건 왕이 할 법한 일이 아니네. 천국에 맹세하건대 이곳에 돌아올 일은 없을 거야! 잘 있게!","~
Es schickt sich für einen König nicht, seine loyalen Getreuen zu vernachlässigen. Ich gehe – und ich schwöre beim Blau des Himmels, nie wieder hierher zurückzukommen! Lebwohl!","~ 
Un monarque ne devrait pas négliger ses sujets loyaux. Je m'en vais, et je jure devant tous les cieux que jamais je ne remettrai les pieds ici. Adieu !","~
Un sovrano non dovrebbe trascurare i suoi fedeli collaboratori. Me ne vado e, mi sia testimone il cielo, non intendo tornare! Addio!","~
Bir hükümdarın sadık kullarını ihmal etmesi uygun değildir. Gidiyorum ve Tanrı şahidim olsun ki bir daha dönmeyeceğim! Elveda!","~
Egy uralkodóhoz nem méltó hűséges segítőit elhanyagolni. Elmegyek, és nem térek vissza soha, az ég úgy segéljen! A legjobbakat!","~
Монарху не личить нехтувати вірними помічниками. Я йду, і, клянусь Святими небесами, я ніколи сюди не повернуся! Прощавайте!","~
Không hợp lý khi nhà vua bỏ bê các trợ thủ trung thành của mình. Tôi sẽ ra đi, và tôi thề với trời, tôi sẽ không bao giờ trở lại đây nữa! Tạm biệt!
"
letter.now_enemy.0,Письмо начала вражды ( я тебе враг) ждите в ближайшее время,"~
Пишу, чтобы сообщить, что я больше не буду игнорировать твои бесчинства. Встать на путь войны было твоим решением.  Теперь пусть Святая София решит, кому из нас достанется победа.","~
I write to inform you that I shall no longer turn a blind eye to your transgressions. Choosing the path of war was your decision. Now, let Holy Sophia determine who shall claim victory between us.","~
I write to inform you that I shall no longer turn a blind eye to your transgressions. Choosing the path of war was your decision. Now, let Holy Sophia determine who shall claim victory between us.","~
Chci tě zpravit, že tvoje přestupky už dále nebudu přehlížet. Zvolit cestu války bylo tvoje rozhodnutí. Nyní nechť svatá Sofie rozhodne o tom, kdo z nás dvou dosáhne vítězství.","~
Venho lhe informar que não farei mais vista grossa para suas transgressões. A guerra foi uma escolha sua. Que Santa Sofia determine quem sairá com a vitória.","~
Te escribo para informarte que no voy a hacer la vista gorda con tus faltas. Fue decisión tuya tomar la senda de la guerra. Ahora, que santa Sophia decida quién de nosotros se alzará con la victoria.","~
Piszę, aby poinformować, że miarka się przebrała i nie zamierzam już ignorować takiego zachowania. Wchodzimy na ścieżkę wojenną. A teraz niech Święta Zofia zdecyduje, kto z nas bardziej zasługuje na zwycięstwo.","~
我写信是想告诉你，我将不再对你的罪过视而不见。既然你选择了发动战争，那么，让圣索菲亚决定胜利的天平倒向谁那一边吧。","~
特此撰信告知，我將不再坐視您的無禮進犯。既然您決意開戰，我亦須奉陪。就讓聖母索菲亞決定我倆鹿死誰手。","~
私は、もはやあなた方の罪深き行為に目を背けるつもりはないことをお伝えするために、この手紙を書いている。戦争の道を選んだのはあなた方の決断だ。今こそ、聖母ソフィアに、誰が勝利を主張するべきかを決めさせよう。","~
더는 그대의 죄를 못 본 척할 수 없다는 것을 알려주려고 편지를 쓰네. 전쟁을 선택한 것은 바로 그대의 결정이야. 이제 성모 소피아께서 우리 중 승자가 누구인지 결정하실 걸세.","~
Ich schreibe dir, um dich darüber in Kenntnis zu setzen, dass ich deine Übertretungen nicht länger dulden werde. Es war deine Entscheidung, den Pfad des Krieges zu beschreiten. Nun muss die Heilige Sophie entscheiden, wer von uns beiden den Sieg erringen soll.","~ 
Je vous écris pour vous annoncer que je refuse d'ignorer vos méfaits. Vous avez décidé d'emprunter la voie de la guerre. Que Sainte Sophia choisisse à qui de nous elle octroiera la victoire.","~
Ti informo che non ho intenzione di ignorare ulteriormente le tue trasgressioni. Hai messo piede sul sentiero di guerra. D'ora innanzi, sarà Madre Sofia a decretare chi tra noi due otterrà la vittoria.","~
Artık günahlarınızı görmezden gelmeyeceğimi söylemek için yazıyorum. Savaş yolunu siz seçtiniz. Artık aramızdaki galibi bırakalım da Yüce Sophia seçsin.","~
Ezúton tájékoztatlak, hogy többé nem hunyok szemet kihágásaid felett. A háború a te döntésed volt. Most pedig Szent Szófia kezében a döntés, melyikünké lesz a győzelem kettőnk közül.","~
Цим листом я повідомляю вам про те, що більше не закриватиму очі на ваші провини. Ви самі вибрали шлях війни. А тепер нехай Свята Софія вибере переможця.","~
Tôi viết thư này để thông báo rằng tôi sẽ không còn làm ngơ trước những hành vi của bạn nữa. Việc chọn con đường chiến tranh là quyết định của bạn. Bây giờ, hãy để Thánh Sophia quyết định ai sẽ giành chiến thắng giữa chúng ta.
"
letter.now_enemy.1,,"~
Настало время избавить мир от такого вора и убийцы, как ты. И даже если ты упадешь на колени, чтобы просить пощады, её ты не получишь. Лишь твой череп станет для меня достойной наградой.","~
The time has come to rid the world of a thief and murderer like you. And even if you were to fall to your knees, begging for mercy, it shall not be granted. Only your skull shall serve as a worthy trophy for me.","~
The time has come to rid the world of a thief and murderer like you. And even if you were to fall to your knees, begging for mercy, it shall not be granted. Only your skull shall serve as a worthy trophy for me.","~
Nadešel čas zbavit svět zloděje a vražedníka, jako jsi ty. A i když padneš na kolena a budeš škemrat o milost, nedostane se ti jí. Důstojnou trofejí mi bude toliko tvoje lebka.","~
Está na hora de deixar o mundo com menos ladrões e assassinos como você. Mesmo que se ajoelhe diante de mim implorando por piedade, ela não será concedida. O único troféu que aceito é sua cabeça.","~
Ha llegado el momento de librar al mundo de tu latrocinio y tus asesinatos. Y, aunque hincases la rodilla pidiendo clemencia, no se te concederá. El único trofeo que me satisfará será tu cráneo.","~
Nadeszła pora, żeby wyzwolić od Ciebie świat, złodziejska i mordercza mendo. Nie okażę Ci łaski, nawet jeśli padniesz na kolana i zaczniesz skomleć o litość. Nie spocznę, dopóki Twoja czaszka nie zawiśnie na mojej ścianie obok innych trofeów.","~
你这肮脏的小偷和杀人犯该从这个世界上消失了。即使你跪下来求饶，我也绝不会答应。只有你的头盖骨可以作为我的战利品。","~
如你這等賊寇凶險之徒，該當誅滅。從此刻起，縱使你跪地乞憐，我也絕不寬貸。我將劍指汝之咽喉，未摘首級誓不罷休。","~
お前のような盗賊、そして殺人犯はこの世界にふさわしくない。今こそ排除する時だ。たとえひざまずき、慈悲を乞うたとしても、許されることはない。お前の頭蓋骨を戦利品として持ち帰るのが、私にふさわしい。","~
네 놈 같은 도둑과 살인자의 세상을 숙청할 때가 됐군. 무릎을 꿇고 자비를 빌어도 소용없을 걸세. 나에게는 네 놈의 두개골만이 가치 있는 트로피일 것이니.","~
Die Zeit ist gekommen, die Welt von einem Dieb und Mörder zu befreien, wie du einer bist. Und selbst wenn du auf deinen Knien um Gnade bettelst, wird sie dir nicht gewährt werden. Nur dein Schädel wird mir eine würdige Trophäe sein.","~ 
L'heure est venue de me débarrasser du voleur et de l'assassin que vous êtes. Priez, prosternez-vous et suppliez-moi de vous épargner tant que vous voulez, je n'en ferai rien. J'afficherai votre tête en guise de trophée dans ma grand-salle aux yeux de tous !","~
È giunto il tempo di liberare il mondo da una canaglia come te. Se anche dovessi prostrarti chiedendo clemenza, non ti verrà concessa. L'unico trofeo che considero degno è il tuo cranio.","~
Dünyanın senin gibi bir hırsız ve katilden kurtulma vakti geldi. Dizlerine kapanıp af dilesen bile nafile. Kellen benim için değerli bir zafer hatırası olacak.","~
Ideje, hogy megszabadítsuk a világot egy magadfajta gyilkos tolvajtól. Még ha térdre hullva könyörögnél is kegyelemért, már nem kapod meg. Csak a koponyád szolgálhat méltó trófeaként számomra.","~
Настав час позбавити світ від такого злодія та вбивці, як ви. І навіть якби ви впали на коліна, благаючи про пощаду, вам не здобрувати. Тільки ваш череп послужить мені гідним трофеєм.","~
Đã đến lúc thanh trừng thế giới khỏi những kẻ trộm và kẻ giết người như ngươi. Và ngay cả khi ngươi quỳ xuống, cầu xin sự thương xót, điều đó cũng sẽ không được ban phước. Chỉ có cái sọ của ngươi mới là chiến lợi phẩm xứng đáng cho ta.
"
