Code,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
hint_mind_battle_enemy_soldier_retreat,,"[hint_mind_caption]
Хаха! Трусы!","[hint_mind_caption]
Haha! Cowards!","[hint_mind_caption]
Haha! Cowards!","[hint_mind_caption]
Haha! Zbabělci!","[hint_mind_caption]
Haha! Covardes!","[hint_mind_caption]
¡Ja, ja! ¡Cobardes!","[hint_mind_caption]
Ha, ha! Tchórze!","[hint_mind_caption]
哈哈！胆小鬼！","[hint_mind_caption]
啊哈哈！懦夫！","[hint_mind_caption]
ははは！臆病者め！","[hint_mind_caption]
하하! 겁쟁이들!","[hint_mind_caption]
Haha! Feiglinge!","[hint_mind_caption]
Ah ah ah ! Bande de lâches !","[hint_mind_caption]
Ah ah! Codardi!","[hint_mind_caption]
Haha! Ödlekler!","[hint_mind_caption]
Haha! Gyávák!","[hint_mind_caption]
Ха-ха! Боягузи!"
hint_mind_battle_enemy_soldier_dead,,"[hint_mind_caption]
Я видел как вражеский воин по соседству пал! Еще немного и победа будет наша!","[hint_mind_caption]
I saw an enemy warrior nearby fall! Just a bit longer, and victory will be ours!","[hint_mind_caption]
I saw an enemy warrior nearby fall! Just a bit longer, and victory will be ours!","[hint_mind_caption]
Kousek ode mě zemřel nepřátelský válečník! Ještě chvíli a vítězství bude naše!","[hint_mind_caption]
Vi um guerreiro inimigo caído aqui perto! Só um pouco mais e a vitória será nossa!","[hint_mind_caption]
¡He visto caer a un guerrero enemigo cerca! ¡Solo un poco más, y la victoria será nuestra!","[hint_mind_caption]
Wrogowie padają trupem! Jeszcze trochę i zwyciężymy!","[hint_mind_caption]
我看见附近有一个敌方战士阵亡！再坚持一会，胜利就是我们的！","[hint_mind_caption]
我看到附近有個敵方戰士失利！只要再撐一下我們就贏了！","[hint_mind_caption]
近くにいた敵の戦士が倒れたぞ！勝利は目の前だ！","[hint_mind_caption]
적군 전사가 쓰러졌어! 조금만 더 버티면 우리가 승리할 거야!","[hint_mind_caption]
Ich sah einen feindlichen Krieger in der Nähe fallen! Es dauert nicht mehr lange, dann ist der Sieg unser!","[hint_mind_caption]
Un guerrier ennemi vient de tomber ! Tenons encore un peu et la victoire sera pour nous !","[hint_mind_caption]
Ho visto cadere un guerriero nemico nelle vicinanze! Ancora un po' e la vittoria sarà nostra!","[hint_mind_caption]
Yakınımdaki bir düşman savaşçının öldüğünü gördüm! Dayanın, zafer bizim olacak!","[hint_mind_caption]
Láttam egy ellenséges harcost elesni a közelben! Csak még egy kicsi, és a győzelem a miénk lesz!","[hint_mind_caption]
Прямо на моїх очах неподалік впав ворожий воїн! Ще трохи, і перемога буде за нами!"
hint_mind_battle_loose,,"[hint_mind_caption]
Сегодня удача была не на нашей стороне...
[hint_mind_remain_time]","[hint_mind_caption]
Today, luck was not on our side...
[hint_mind_remain_time]","[hint_mind_caption]
Today, luck was not on our side...
[hint_mind_remain_time]","[hint_mind_caption]
Dnes nám štěstí nepřálo...
[hint_mind_remain_time]","[hint_mind_caption]
Hoje a sorte não estava do nosso lado...
[hint_mind_remain_time]","[hint_mind_caption]
Hoy, la suerte no ha estado de nuestro lado...
[hint_mind_remain_time]","[hint_mind_caption]
Dzisiaj fortuna nie stała po naszej stronie…
[hint_mind_remain_time]","[hint_mind_caption]
我们今天不走运……
[hint_mind_remain_time]","[hint_mind_caption]
我們今天不走運……
[hint_mind_remain_time]","[hint_mind_caption]
今日は運に見放されたな...
[hint_mind_remain_time]","[hint_mind_caption]
오늘은 운이 좋지 않았어...
[hint_mind_remain_time]","[hint_mind_caption]
Heute war das Glück nicht auf unserer Seite ...
[hint_mind_remain_time]","[hint_mind_caption]
La chance n'était pas de notre côté aujourd'hui…
[hint_mind_remain_time]","[hint_mind_caption]
Oggi la fortuna non è stata dalla nostra parte...
[hint_mind_remain_time]","[hint_mind_caption]
Bugün şans bizden yana değildi.
[hint_mind_remain_time]","[hint_mind_caption]
Ma a szerencse nem a mi oldalunkon állt…
[hint_mind_remain_time]","[hint_mind_caption]
Сьогодні вдача нам не посміхнулася…
[hint_mind_remain_time]"
hint_mind_battle_soldier_retreat,,"[hint_mind_caption]
Мой брат по оружию бежал! Дело плохо!","[hint_mind_caption]
My fellow warrior fled! Things are looking grim!","[hint_mind_caption]
My fellow warrior fled! Things are looking grim!","[hint_mind_caption]
Jeden z našich utekl! Situace vypadá špatně!","[hint_mind_caption]
Um de nossos companheiros fugiu! As coisas estão feias!","[hint_mind_caption]
¡Mi camarada guerrero ha huido! ¡Esto tiene muy mala pinta!","[hint_mind_caption]
Nasi pierzchają! Kiepsko to wygląda!","[hint_mind_caption]
我的战友逃跑了！现在形势严峻！","[hint_mind_caption]
我的戰友逃走了！情況不妙！","[hint_mind_caption]
仲間の戦士が逃げたぞ！厳しい事態だ！","[hint_mind_caption]
동료 전사가 달아났어! 가망이 없어 보여!","[hint_mind_caption]
Mein Gefährte ist geflohen! Es sieht nicht gut aus!","[hint_mind_caption]
Mes compagnons ont fui le combat ! Ça s'annonce mal !","[hint_mind_caption]
La persona che combatteva accanto a me si è data alla fuga! Le cose si mettono male!","[hint_mind_caption]
Savaşçı arkadaşım kaçtı! İşler kötü görünüyor!","[hint_mind_caption]
A harcostársam elmenekült! Komornak tűnnek a dolgok!","[hint_mind_caption]
Мій побратим утік! Кепські мої справи!"
hint_mind_battle_soldier_dead,,"[hint_mind_caption]
Нас становится все меньше!","[hint_mind_caption]
We are getting fewer and fewer!","[hint_mind_caption]
We are getting fewer and fewer!","[hint_mind_caption]
Je nás čím dál méně!","[hint_mind_caption]
Há cada vez menos de nós!","[hint_mind_caption]
¡Cada vez somos menos!","[hint_mind_caption]
Jest nas coraz mniej!","[hint_mind_caption]
我们的人越来越少！","[hint_mind_caption]
我們人越來越少了！","[hint_mind_caption]
こっちの数がどんどん減っている！","[hint_mind_caption]
우리 숫자가 점점 더 줄어들고 있어!","[hint_mind_caption]
Wir werden immer weniger!","[hint_mind_caption]
Nos troupes s'amenuisent chaque seconde !","[hint_mind_caption]
Siamo sempre meno!","[hint_mind_caption]
Sayımız azalıyor!","[hint_mind_caption]
Egyre kevesebben vagyunk!","[hint_mind_caption]
Нас стає все менше!"
hint_mind_battle_win,,"[hint_mind_caption]
Ура, мы победили! Слава королю!
[hint_mind_remain_time]","[hint_mind_caption]
Hurray, we have won! Glory to the king!
[hint_mind_remain_time]","[hint_mind_caption]
Hurray, we have won! Glory to the king!
[hint_mind_remain_time]","[hint_mind_caption]
Hurá, vyhráli jsme! Sláva králi!
[hint_mind_remain_time]","[hint_mind_caption]
Viva! Nós vencemos! Glória ao rei!
[hint_mind_remain_time]","[hint_mind_caption]
¡Hurra, hemos ganado! ¡Gloria al monarca!
[hint_mind_remain_time]","[hint_mind_caption]
Hura, zatriumfowaliśmy! Chwała królowi!
[hint_mind_remain_time]","[hint_mind_caption]
耶，我们胜利了！敬君王！
[hint_mind_remain_time]","[hint_mind_caption]
萬歲！我們贏了！榮耀歸吾主！
[hint_mind_remain_time]","[hint_mind_caption]
万歳！勝ったぞ！我らの王に栄光あれ！
[hint_mind_remain_time]","[hint_mind_caption]
야호, 승리했어! 우리의 왕께 승리의 영광을!
[hint_mind_remain_time]","[hint_mind_caption]
Hurra, wir haben gewonnen! Ruhm und Ehre dem König!
[hint_mind_remain_time]","[hint_mind_caption]
Hourra ! Nous sommes victorieux ! Gloire à notre monarque !
[hint_mind_remain_time]","[hint_mind_caption]
Evviva, abbiamo vinto! Gloria al nostro monarca!
[hint_mind_remain_time]","[hint_mind_caption]
Yaşasın, kazandık! Hükümdarımız çok yaşa!
[hint_mind_remain_time]","[hint_mind_caption]
Hurrá, győztünk! Dicsőség az uralkodónak!
[hint_mind_remain_time]","[hint_mind_caption]
Ура, ми перемогли! Слава монарху!
[hint_mind_remain_time]"
hint_mind_catharsis,,"[hint_mind_caption]
После недавнего <hint=hint_tantrum>срыва</hint> мне стало легче... Надолго ли?
[hint_mind_remain_time]","[hint_mind_caption]
After the recent <hint=hint_tantrum>meltdown</hint>, I feel relieved... But for how long?
[hint_mind_remain_time]","[hint_mind_caption]
After the recent <hint=hint_tantrum>meltdown</hint>, I feel relieved... But for how long?
[hint_mind_remain_time]","[hint_mind_caption]
Po nedávném <hint=hint_tantrum>zhroucení</hint> už je mi líp... Ale na jak dlouho?
[hint_mind_remain_time]","[hint_mind_caption]
O <hint=hint_tantrum>Surto</hint> que eu tive há pouco me aliviou, mas... Por quanto tempo?
[hint_mind_remain_time]","[hint_mind_caption]
Después del reciente <hint=hint_tantrum>colapso</hint>, siento alivio... Pero ¿cuánto tiempo durará?
[hint_mind_remain_time]","[hint_mind_caption]
Po ostatnim <hint=hint_tantrum>wybuchu</hint> odczuwam spokój… Ale na jak długo?
[hint_mind_remain_time]","[hint_mind_caption]
最近经历过<hint=hint_tantrum>崩溃</hint>后，我觉得如释重负……但这能坚持多久？
[hint_mind_remain_time]","[hint_mind_caption]
經歷最近那次<hint=hint_tantrum>潰敗</hint>後，我安心多了……但又能維持多久呢？
[hint_mind_remain_time]","[hint_mind_caption]
最近<hint=hint_tantrum>正気を失って</hint>いたんだが、やっと落ちついたようだ... でもどのくらい経った？
[hint_mind_remain_time]","[hint_mind_caption]
최근의 <hint=hint_tantrum>정신 붕괴</hint> 이후로 안도감이 느껴져... 하지만 그게 얼마나 갈까?
[hint_mind_remain_time]","[hint_mind_caption]
Nach dem jüngsten <hint=hint_tantrum>Zusammenbruch</hint> fühle ich mich erleichtert ... Aber wie lange?
[hint_mind_remain_time]","[hint_mind_caption]
Malgré ma récente <hint=hint_tantrum>dépression nerveuse</hint>, je me sens mieux. Mais pour combien de temps ?
[hint_mind_remain_time]","[hint_mind_caption]
Dopo il recente <hint=hint_tantrum>esaurimento nervoso</hint>, mi sento meglio... Ma quanto durerà?
[hint_mind_remain_time]","[hint_mind_caption]
Yakınlarda yaşadığım <hint=hint_tantrum>sinir krizi</hint> nedeniyle kendimi rahatlamış hissediyorum ama bu durum ne kadar sürecek?
[hint_mind_remain_time]","[hint_mind_caption]
A legutóbbi <hint=hint_tantrum>összeomlás</hint> után most megkönnyebbültem… De meddig tart vajon?
[hint_mind_remain_time]","[hint_mind_caption]
Після останньої <hint=hint_tantrum>катастрофи</hint>, я відчуваю полегшення… Але як надовго?
[hint_mind_remain_time]"
hint_mind_close_actor_hostage,,"[hint_mind_caption]
{name} в плену, мы должны его освободить!","[hint_mind_caption]
{name} is captured, we must set him free!","[hint_mind_caption]
{name} is captured, we must set him free!","[hint_mind_caption]
{name} je v zajetí, musíme ho osvobodit!","[hint_mind_caption]
Capturaram {name}! Precisamos ajudar!","[hint_mind_caption]
Han capturado a {name}, ¡debemos liberarlo!","[hint_mind_caption]
{name} jest w niewoli! Trzeba ruszyć na pomoc!","[hint_mind_caption]
{name}被俘了，我们一定要救他出来！","[hint_mind_caption]
{name}被俘虜了，我們一定要解救他！","[hint_mind_caption]
{name}が捕らわれた。解放しなければ！","[hint_mind_caption]
{name}이(가) 포로로 잡혔어! 구해줘야 해!","[hint_mind_caption]
{name} wurde gefangen genommen – wir müssen ihn befreien!","[hint_mind_caption]
L'ennemi a capturé {name} ! Nous devons l'aider !","[hint_mind_caption]
{name} è ostaggio dei nemici, dobbiamo fare qualcosa!","[hint_mind_caption]
{name} yakalanmış, onu özgür bırakmalıyız!","[hint_mind_caption]
{name} fogságba esett, ki kell szabadítanunk!","[hint_mind_caption]
{name} схоплено. Уперед, на допомогу!"
hint_mind_close_actor_dead,,"[hint_mind_caption]
Я просто не верю, что {name} больше не с нами...
[hint_mind_remain_time]","[hint_mind_caption]
I just can't believe that {name} is no longer with us...
[hint_mind_remain_time]","[hint_mind_caption]
I just can't believe that {name} is no longer with us...
[hint_mind_remain_time]","[hint_mind_caption]
Nemůžu uvěřit, že už {name} není mezi námi...
[hint_mind_remain_time]","[hint_mind_caption]
Não posso acreditar que {name} já não está entre nós...
[hint_mind_remain_time]","[hint_mind_caption]
Me cuesta creer que {name} ya no esté con nosotros...
[hint_mind_remain_time]","[hint_mind_caption]
Nie wierzę, że {name} już nie żyje…
[hint_mind_remain_time]","[hint_mind_caption]
{name}走了，怎么会这样……
[hint_mind_remain_time]","[hint_mind_caption]
我真不敢相信{name}已經不在我們身邊了……
[hint_mind_remain_time]","[hint_mind_caption]
{name}がもうこの世にいないなんて信じられない...
[hint_mind_remain_time]","[hint_mind_caption]
{name}이(가) 우리 곁을 떠났다니 믿을 수가 없어...
[hint_mind_remain_time]","[hint_mind_caption]
Es ist kaum zu glauben, dass {name} nicht länger unter uns weilt ...
[hint_mind_remain_time]","[hint_mind_caption]
{name} nous a quittés… Je n'arrive pas à le croire.
[hint_mind_remain_time]","[hint_mind_caption]
Non riesco a credere che {name} non sia più con noi...
[hint_mind_remain_time]","[hint_mind_caption]
{name} artık bizimle değil, hâlâ inanamıyorum.
[hint_mind_remain_time]","[hint_mind_caption]
Nem tudom elhinni, hogy {name} már nincs velünk…
[hint_mind_remain_time]","[hint_mind_caption]
Не можу повірити, що {name} більше не з нами…
[hint_mind_remain_time]"
hint_mind_close_actor_heavy_disease,,"[hint_mind_caption]
Я не уверена, что {name} сможет <hint=hint_sick>поправиться</hint>... Надеюсь, у нас достаточно <hint=hint_heal>лекарств</hint>...","[hint_mind_caption]
I'm not sure if {name} will be able to <hint=hint_sick>recover</hint>... I hope we have enough <hint=hint_heal>healing supplies</hint>...","[hint_mind_caption]
I'm not sure if {name} will be able to <hint=hint_sick>recover</hint>... I hope we have enough <hint=hint_heal>healing supplies</hint>...","[hint_mind_caption]
Nevím jistě, jestli se {name} dokáže <hint=hint_sick>uzdravit</hint>... Doufám, že máme dost <hint=hint_heal>zdravotnických zásob</hint>...","[hint_mind_caption]
Não tenho certeza se {name} conseguirá se <hint=hint_sick>Recuperar</hint>... Espero que tenhamos suprimentos suficientes para o <hint=hint_heal>Tratamento</hint>...","[hint_mind_caption]
No sé si {name} podrá <hint=hint_sick>recuperarse</hint>... Espero que tengamos suficientes <hint=hint_heal>suministros médicos</hint>...","[hint_mind_caption]
Nie wiem, czy {name} zdoła <hint=hint_sick>wyzdrowieć</hint>… Mam nadzieję, że mamy dość <hint=hint_heal>lekarstw</hint>…","[hint_mind_caption]
不知道{name}能不能<hint=hint_sick>痊愈</hint>……希望我们的<hint=hint_heal>治疗用品</hint>够用……","[hint_mind_caption]
我不確定{name}是否得以<hint=hint_sick>康復</hint>……希望我們的<hint=hint_heal>醫療用品</hint>足夠……","[hint_mind_caption]
{name}が<hint=hint_sick>回復</hint>するかどうかはわからない... <hint=hint_heal>治療用物資</hint>が足りることを祈ろう...","[hint_mind_caption]
{name}이(가) <hint=hint_sick>회복</hint>할 수 있을지 모르겠군... <hint=hint_heal>의료용품</hint>이 충분해야 할 텐데...","[hint_mind_caption]
Ich bin nicht sicher, ob sich {name} <hint=hint_sick>erholen</hint> wird ... Hoffentlich haben wir genug <hint=hint_heal>medizinische Vorräte</hint> ...","[hint_mind_caption]
Je ne sais pas si {name} parviendra à <hint=hint_sick>se remettre</hint> du mal qui le ronge… Espérons que nous aurons suffisamment de <hint=hint_heal>matériel de soin</hint>.","[hint_mind_caption]
Non ho la certezza che {name} riuscirà a <hint=hint_sick>riprendersi</hint>... Spero che ci siano abbastanza <hint=hint_heal>scorte per la guarigione</hint>...","[hint_mind_caption]
{name} bunu <hint=hint_sick>atlatabilecek</hint> mi emin değilim. Umarım yeteri kadar <hint=hint_heal>ilacımız</hint> vardır...","[hint_mind_caption]
Nem vagyok benne biztos, hogy {name} <hint=hint_sick>felépül</hint>-e… Remélem, van elég <hint=hint_heal>gyógyszerünk</hint>…","[hint_mind_caption]
Думаю, {name} <hint=hint_sick>одужає</hint>… Сподіваюсь, у нас достатньо <hint=hint_heal>засобів зцілення</hint>…"
