Code,Comments,Comments,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
hint_unavailable_captive_high_loyalty,,,"Лояльность слишком низкая
Лояльность пленника должна стать положительной, тогда вы сможете присоединить его к своей фракции.","Loyalty is too low
The captive's loyalty must become positive, then you can join him to your faction.","Loyalty is too low
The captive's loyalty must become positive, then you can join him to your faction.","Věrnost je příliš nízká
Zajatcova věrnost musí být kladná, teprve pak ho můžeš připojit ke své frakci.","Lealdade baixa demais
A lealdade da pessoa detida deve se tornar positiva para que você possa uni-la à sua facção.","La lealtad es demasiado baja
La lealtad del cautivo debe ser positiva para que se una a tu facción.","Lojalność zbyt niska
Lojalność jeńca nie może mieć wartości ujemnej, jeśli chcesz go przyłączyć do swej rodziny.","忠诚度太低
俘虏的忠诚度必须为正，才能将其纳入你的派系。","忠誠度過低
俘虜的忠誠度必須為正值才能使他加入你的陣營。","忠誠心が低すぎる
捕虜の忠誠心がプラスになれば、自分の派閥に加えることができます。","충성도가 너무 낮습니다
포로의 충성도가 0보다 높은 경우에만 진영에 합류할 수 있습니다.","Loyalität zu niedrig
Die Loyalität des Sklaven muss im positiven Bereich sein, damit du ihn in deine Fraktion aufnehmen kannst.","Loyauté trop faible 
La loyauté du prisonnier doit être positive pour qu'il puisse rejoindre votre faction.","Lealtà troppo bassa
La lealtà del prigioniero deve raggiungere un valore positivo per poterlo aggiungere alla tua fazione.","Sadakat çok düşük
Esiri grubuna katabilmen için bu esirin sadakatinin olumlu seviyede olması gerekir.","Túl alacsony hűség
A hadifogoly hűségének pozitívvá kell válnia, akkor csatlakozhat a frakciódhoz.","Занизький рівень вірності
Щоб долучити полоненого до угруповання, його рівень вірності має перевищувати нуль."
hint_global_map_danger_unknown,,,"~
<red>Неизвестная угроза нависла над этим городом.</red>","~
<red>An unknown threat looms over this city.</red>","~
<red>An unknown threat looms over this city.</red>","~
<red>Nad městem se tyčí neznámá hrozba.</red>","~
<red>Uma ameaça desconhecida paira sobre esta cidade.</red>","~
<red>Una amenaza desconocida se cierne sobre esta ciudad.</red>","~
<red>Nad miastem wisi nieznane zagrożenie.</red>","~
<red>未知的威胁笼罩着这座城市。</red>","~
<red>一場未知的威脅籠罩此城邦。</red>","～
<red>この街に未知の脅威が迫っています。</red>","~
<red>이 도시에 알 수 없는 위협이 닥쳐옵니다.</red>","~
<red>Eine unbekannte Bedrohung zieht über der Stadt auf.</red>","~
<red>Une menace inconnue plane sur la cité.</red>","~
<red>Una minaccia sconosciuta incombe su questa città.</red>","~
<red>Bu şehrin üzerinde bilinmeyen bir tehdit dolaşıyor.</red>","~
<red>Ismeretlen veszély fenyegeti a várost.</red>","~
<red>Над цим містом нависла невідома загроза.</red>"
hint_global_map_danger_mountains_bandits,,,"~
<red>После последних событий {soul_uuid_king} ослаб, и теперь разведчики говорят, что по направлению к его городу движется отряд <hint=hint_person_maroders>мародеров</hint>.</red>","~
After the recent events, {soul_uuid_king} has been weakened, and now scouts report that a group of <hint=hint_person_maroders>marauders</hint> is moving toward his city.","~
After the recent events, {soul_uuid_king} has been weakened, and now scouts report that a group of <hint=hint_person_maroders>marauders</hint> is moving toward his city.","~
Po nedávných událostech je {soul_uuid_king} slabší a zvědi nyní hlásí, že se k městu blíží skupina <hint=hint_person_maroders>nájezdníků</hint>.","~
Após os eventos recentes, {soul_uuid_king} se enfraqueceu. Agora, os batedores informam que um grupo de <hint=hint_person_maroders>Salteadores</hint> está indo até sua cidade.","~
Después de los eventos recientes, {soul_uuid_king} ha quedado debilitado, y ahora los exploradores informan de que un grupo de <hint=hint_person_maroders>merodeadores</hint> se dirige hacia su ciudad.","~
Po niedawnych wydarzeniach {soul_uuid_king} został osłabiony, a zwiadowcy donoszą, że ku jego miastu zmierza duża grupa <hint=hint_person_maroders>maruderów</hint>.","~
经过最近几次事件之后，{soul_uuid_king}遭到削弱，如今侦察兵来报，一支<hint=hint_person_maroders>山匪</hint>队伍正前往他的城市。","~
經過最近的事件後，{soul_uuid_king}已變得衰弱，現在探子回報有一群<hint=hint_person_maroders>盜匪</hint>正往他的城邦前進。","～
最近の出来事の後、{soul_uuid_king}が弱体化し、今、偵察の報告によれば、<hint=hint_person_maroders>略奪者</hint>の一団がその王の街に向かって移動しています。","~
최근 사건 이후, {soul_uuid_king}은(는) 쇠약해졌으며, 정찰병들이 <hint=hint_person_maroders>약탈자</hint> 무리가 해당 도시를 향해 이동하고 있다고 보고합니다.","~
Die jüngsten Ereignisse haben {soul_uuid_king} geschwächt und Kundschafter berichten, dass eine Gruppe von <hint=hint_person_maroders>Plünderern</hint> unterwegs in Richtung seiner Stadt ist.","~
Les événements récents ont affaibli {soul_uuid_king}. Désormais, les éclaireurs signalent un groupe de <hint=hint_person_maroders>maraudeurs</hint> qui approche de sa cité.","~
Dopo gli eventi recenti, le forze di {soul_uuid_king} si sono indebolite; i ricognitori segnalano che un gruppo di <hint=hint_person_maroders>predoni</hint> si dirige verso la sua città.","~
Son olaylardan sonra {soul_uuid_king} zayıfladı. Şimdi de gözcülerin <hint=hint_person_maroders>yağmacıların</hint> bu şehre doğru ilerlediğini bildirdi.","~
A közelmúlt eseményei után {soul_uuid_king} meggyengült, és most a felderítők jelentették, hogy egy csapat <hint=hint_person_maroders>martalóc</hint> a városa felé tart.","~
Після нещодавніх подій {soul_uuid_king} ослаблений. Розвідники повідомляють, що група <hint=hint_person_maroders>мародерів</hint> рухається до міста."
hint_global_map_danger_ai_lord_family_destroy,,,"~
<red>Ненависть между соседними королями зашла слишком далеко, и теперь {soul_uuid_king_s} собирается сжечь до тла {faction_uuid}.</red>","~
<red>The hatred between neighboring kings has escalated too far, and now {soul_uuid_king_s} intends to burn {faction_uuid} to the ground.</red>","~
<red>The hatred between neighboring kings has escalated too far, and now {soul_uuid_king_s} intends to burn {faction_uuid} to the ground.</red>","~
<red>Nenávist mezi sousedními králi se příliš vyhrotila a {soul_uuid_king_s} teď hodlá vypálit frakci {faction_uuid} do základů.</red>","~
<red>O ódio entre regentes vizinhos foi longe demais. {soul_uuid_king_s} tem intenções de queimar {faction_uuid} até não restar nada.</red>","~
<red>El odio entre los monarcas vecinos ha llegado demasiado lejos, y ahora {soul_uuid_king_s} tiene intención de reducir {faction_uuid} a cenizas.</red>","~
<red>Konflikt między dwoma władcami rozgorzał do takiego poziomu, że {soul_uuid_king_s} chce spalić miasto {faction_uuid} na popiół.</red>","~
<red>这两个邻近君王之间的仇恨一发不可收拾，如今{soul_uuid_king_s}希望{faction_uuid}死无葬身之地。</red>","~
<red>鄰邦君王間的仇恨已升至太高，現在{soul_uuid_king_s}打算將之燒成{faction_uuid}一片焦土。</red>","～
<red>近隣諸国の王たちの間の憎しみはエスカレートしすぎ、今、{soul_uuid_king_s}は{faction_uuid}を灰燼に帰そうとしています。</red>","~
<red>이웃 왕들 사이의 증오가 걷잡을 수 없이 커졌습니다. 현재 {soul_uuid_king_s}이(가) {faction_uuid}을(를) 초토화시키려고 합니다.</red>","~
<red>Der Hass zwischen den benachbarten Königen ist eskaliert, weshalb {soul_uuid_king_s} die Absicht hegt, {faction_uuid} bis auf die Grundmauern niederzubrennen.</red>","~
<red>La haine des monarques voisins est devenue trop grande. {soul_uuid_king_s} souhaite désormais réduire {faction_uuid} en cendres.</red>","~
<red>L'odio tra monarchi vicini è cresciuto all'eccesso e {soul_uuid_king_s} ha intenzione di radere al suolo {faction_uuid}.</red>","~
<red>Komşu hükümdarlar arasındaki nefret çok büyüdü ve {soul_uuid_king_s}, {faction_uuid} krallığını yerle yeksan etmek istiyor.</red>","~
<red>A szomszédos uralkodók közötti gyűlölet túl messzire ment, és most {soul_uuid_king_s} szándékában áll porig égetni {faction_uuid} városát.</red>","~
<red>Ненависть між сусідніми монархами загострилася так сильно, що {soul_uuid_king_s} має намір спалити {faction_uuid} внівець.</red>"
hint_global_map_danger_forest,,,"~
<red><hint=hint_persons_forest_bandits>Лесные бандиты</hint> в провинции осмелели так сильно, что собираются разграбить город.</red>","~
<red><hint=hint_persons_forest_bandits>The forest bandits</hint> in the province have become so audacious that they are planning to plunder the city.</red>","~
<red><hint=hint_persons_forest_bandits>The forest bandits</hint> in the province have become so audacious that they are planning to plunder the city.</red>","~
<red><hint=hint_persons_forest_bandits>Lesní zbojníci</hint> v provincii začali být tak troufalí, že hodlají vydrancovat město.</red>","~
<red>Os <hint=hint_persons_forest_bandits>Bandidos da Floresta</hint> na província ficaram tão audaciosos que estão planejando saquear a cidade.</red>","~
<red>Los <hint=hint_persons_forest_bandits>bandidos del bosque</hint> de la provincia se han vuelto tan audaces que buscan saquear la ciudad.</red>","~
<red><hint=hint_persons_forest_bandits>Leśni bandyci</hint> w tej prowincji stali się tak zuchwali, że planują splądrować miasto.</red>","~
<red>省邦的<hint=hint_persons_forest_bandits>森林强盗</hint>越发猖獗，竟然打算洗劫这座城市。</red>","~
<red>領地中的<hint=hint_persons_forest_bandits>林中劫匪</hint>已目中無人到意圖洗劫城邦。</red>","～
<red>王国内の<hint=hint_persons_forest_bandits>森の盗賊</hint>は大胆不敵にも、街からの略奪を目論んでいます。</red>","~
<red>영지의 <hint=hint_persons_forest_bandits>숲속 도적단</hint>이 매우 대담해져서 도시를 약탈할 계획을 세우고 있습니다.</red>","~
<red><hint=hint_persons_forest_bandits>Die Waldbanditen</hint> in der Provinz sind mittlerweile so verwegen, dass sie selbst vor einer Plünderung der Stadt nicht mehr zurückschrecken.</red>","~
<red>L'audace des <hint=hint_persons_forest_bandits>bandits de la forêt</hint> de la province est si grande qu'ils envisagent de piller la cité.</red>","~
<red><hint=hint_persons_forest_bandits>I fuorilegge delle foreste</hint> nella provincia si sono fatti temerari e pianificano di razziare la città.</red>","~
<red>Vilayetteki <hint=hint_persons_forest_bandits>orman haydutları</hint> iyice cesaretlendikleri ve şehri yağmalamayı düşünüyorlar.</red>","~
<red>A tartományban élő <hint=hint_persons_forest_bandits>erdei banditák</hint> olyan vakmerőek lettek, hogy a város felprédálását tervezik.</red>","~
<red><hint=hint_persons_forest_bandits>Лісові розбійники</hint> в провінції стали настільки зухвалими, що планують пограбувати місто.</red>"
hint_global_map_danger_marauders,,,"~
<red>В сторону города движется сильный отряд <hint=hint_person_maroders>мародеров</hint>, чтобы разграбить его.</red>","~
<red>A strong band of <hint=hint_person_maroders>marauders</hint> is moving toward the city to plunder it.</red>","~
<red>A strong band of <hint=hint_person_maroders>marauders</hint> is moving toward the city to plunder it.</red>","~
<red>Silná tlupa <hint=hint_person_maroders>nájezdníků</hint> se blíží k městu, aby ho vydrancovala.</red>","~
<red>Um grupo forte de <hint=hint_person_maroders>Salteadores</hint> está indo em direção à cidade para saqueá-la.</red>","~
<red>Un fuerte grupo de <hint=hint_person_maroders>merodeadores</hint> se dirige hacia la ciudad para saquearla.</red>","~
<red>Silny oddział <hint=hint_person_maroders>maruderów</hint> zmierza ku miastu, aby je splądrować.</red>","~
<red>一支实力强大的<hint=hint_person_maroders>山匪</hint>队伍正向这座城市移动，意图打劫。</red>","~
<red>一群窮凶極惡的<hint=hint_person_maroders>盜匪</hint>正往城邦前進意圖洗劫一空。</red>","～
<red>強力な<hint=hint_person_maroders>略奪者</hint>の一団が略奪しようと街に向かっています。</red>","~
<red>강력한 <hint=hint_person_maroders>약탈자</hint> 무리가 도시를 약탈하러 오고 있습니다.</red>","~
<red>Eine schlagkräftige Bande von <hint=hint_person_maroders>Plünderern</hint> ist in Richtung der Stadt unterwegs, um sie zu plündern.</red>","~
<red>Un puissant groupe de <hint=hint_person_maroders>maraudeurs</hint> s'approche de la cité avec la ferme intention de la piller.</red>","~
<red>Un'agguerrita banda di <hint=hint_person_maroders>predoni</hint> si dirige verso la città per darsi al saccheggio.</red>","~
<red>Güçlü bir grup <hint=hint_person_maroders>yağmacı</hint> şehri yağmalamaya geliyor.</red>","~
<red><hint=hint_person_maroders>Martalócok</hint> erős csapata tart a város felé, hogy felprédálják.</red>","~
<red>Потужний загін <hint=hint_person_maroders>мародерів</hint> рухається до міста, щоб пограбувати його.</red>"
hint_global_map_danger_vassal_riot,,,"~
<red>Отношения {soul_uuid_king} с его сюзереном {soul_uuid_king_s} из {faction_uuid_sir} совсем испортились, и он бросает ему вызов, желая выйти из вассалитета.</red>","~
<red>{soul_uuid_king}'s relationship with their suzerain {soul_uuid_king_s} from {faction_uuid_sir} has completely deteriorated, and the vassal takes a stand, wishing to break free.</red>","~
<red>{soul_uuid_king}'s relationship with their suzerain {soul_uuid_king_s} from {faction_uuid_sir} has completely deteriorated, and the vassal takes a stand, wishing to break free.</red>","~
<red>Vztah krále {soul_uuid_king} s lenním pánem {soul_uuid_king_s} z frakce {faction_uuid_sir} se zcela zhroutil, a tak ho vyzývá, neboť se chce z vazalství vymanit.</red>","~
<red>A relação de {soul_uuid_king} com seu suserano {soul_uuid_king_s}, de {faction_uuid_sir}, se deteriorou completamente, e ele o desafiou buscando se livrar da vassalagem.","~
<red>La relación de {soul_uuid_king} con su soberano {soul_uuid_king_s} de {faction_uuid_sir} se ha deteriorado por completo, y lo ha desafiado con ánimo de liberarse del vasallaje.</red>","~
<red>Stosunki {soul_uuid_king} – {soul_uuid_king_s} ({faction_uuid_sir}) uległy pogorszeniu i teraz wasal chce się wyrwać spod jarzma swego seniora.</red>","~
<red>{soul_uuid_king}与其来自{faction_uuid_sir}的宗主{soul_uuid_king_s}之间的关系彻底决裂，如今他向后者发起了挑战，意图破除附庸关系。</red>","~
<red>{soul_uuid_king}與來自{faction_uuid_sir}的宗主{soul_uuid_king_s}的關係已完全惡化，他向他發起挑戰，希望能從附庸關係中解放。</red>","～
<red>{faction_uuid_sir}の宗主{soul_uuid_king_s}と{soul_uuid_king}の関係性が完全に悪化し、従属関係からの離脱を望み、宗主に挑みます。</red>","~
<red>{soul_uuid_king}은(는) {faction_uuid_sir} 종주 {soul_uuid_king_s}와(과)의 관계가 완전히 악화되었기 때문에 반기를 들고 봉신화에서 벗어나려고 합니다.</red>","~
<red>Die Beziehungen zwischen {soul_uuid_king} und seinem Lehensherren {soul_uuid_king_s} aus {faction_uuid_sir} haben sich auf ein Mindestmaß verschlechtert, weshalb er diesen herausfordert, um sich aus der Vasallität zu befreien.</red>","~
<red>La relation entre {soul_uuid_king} et son suzerain, {soul_uuid_king_s} de {faction_uuid_sir}, s'est fortement dégradée. En contestant l'autorité du suzerain, le personnage espère quitter sa condition de vassal.</red>","~
<red>Il rapporto di {soul_uuid_king} con il sovrano {soul_uuid_king_s} di {faction_uuid_sir} si è deteriorato completamente, e ora desidera liberarsi dal suo dominio.</red>","~
<red>{soul_uuid_king} ve süzereni olan {faction_uuid_sir} kasabasından {soul_uuid_king_s} arasındaki ilişki tamamen kötüleşti ve vasallıktan kurtulmak için ona meydan okuyor.</red>","~
<red>{soul_uuid_king} viszonya teljesen megromlott hűbérurával, {faction_uuid_sir} tartomány {soul_uuid_king_s} urával, és kihívja, hogy kitörhessen a vazallusi igából.</red>","~
<red>Взаємини {soul_uuid_king} з сюзереном {soul_uuid_king_s} з {faction_uuid_sir} повністю зіпсувалися. Монарх кидає виклик, щоб звільнитися від васалітету.</red>"
hint_global_map_danger_ai_attacked_by_lord_family,,,"~
<red>Вражда между королями достигла стадии войны, и теперь {soul_uuid_king_s} из {faction_uuid_s} собирается разграбить {faction_uuid}.</red>","~
<red>The enmity between the kings has reached the stage of war, and now {soul_uuid_king_s} from {faction_uuid_s} is planning to plunder {faction_uuid}.</red>","~
<red>The enmity between the kings has reached the stage of war, and now {soul_uuid_king_s} from {faction_uuid_s} is planning to plunder {faction_uuid}.</red>","~
<red>Nevraživost mezi králi dosáhla válečného stavu a {soul_uuid_king_s} z frakce {faction_uuid_s} nyní hodlá vyplenit frakci {faction_uuid}.</red>","~
<red>A inimizade entre regentes alcançou o ponto de guerra e agora {soul_uuid_king_s} de {faction_uuid_s} está planejando saquear {faction_uuid}.</red>","~
<red>La enemistad entre los monarcas ha llegado a la etapa de guerra, y ahora {soul_uuid_king_s} de {faction_uuid_s} quiere saquear {faction_uuid}.</red>","~
<red>Wrogość pomiędzy królami doprowadziła do wybuchu wojny i teraz {soul_uuid_king_s} ({faction_uuid_s}) zamierza splądrować: {faction_uuid}.</red>","~
<red>这两个君王之间的敌意已经升级为战争级别，如今来自{faction_uuid_s}的{soul_uuid_king_s}打算洗劫{faction_uuid}。</red>","~
<red>君王間的敵意已達到開戰規模，現在，{faction_uuid_s}的{soul_uuid_king_s}正打算洗劫{faction_uuid}。</red>","～
<red>王の間の憎悪の念は戦争の段階にまで達し、現在{faction_uuid_s}の{soul_uuid_king_s}が{faction_uuid}の略奪を企てています。</red>","~
<red>왕들 사이의 증오가 전쟁 단계에 도달하여 {faction_uuid_s}의 {soul_uuid_king_s}이(가) {faction_uuid}을(를) 약탈할 계획을 세우고 있습니다.</red>","~
<red>Die Feindschaft zwischen den Königen ist zu einem Krieg ausgeartet und nun plant {soul_uuid_king_s} von {faction_uuid_s} eine Plünderung von {faction_uuid}.</red>","~
<red>L'animosité entre les monarques est telle que la guerre est inévitable. {soul_uuid_king_s}, de {faction_uuid_s}, prévoit même de piller {faction_uuid}.</red>","~
<red>L'inimicizia tra i monarchi è sfociata nella guerra e ora {soul_uuid_king_s} di {faction_uuid_s} progetta di razziare {faction_uuid}.</red>","~
<red>Hükümdarlar arasındaki husumet savaş raddesine ulaştı. {faction_uuid_s} kasabasından {soul_uuid_king_s}, {faction_uuid} kasabasını talan etmeyi planlıyor.</red>","~
<red>Az uralkodók közötti ellenségeskedés már a háború szintjéig jutott, és most {soul_uuid_king_s}, {faction_uuid_s} uralkodója azt tervezi, hogy felprédálja {faction_uuid} városát.</red>","~
<red>Ворожнеча між монархами дійшла до стадії війни. Монарх {soul_uuid_king_s} з {faction_uuid_s} планує пограбувати {faction_uuid}.</red>"
hint_global_map_danger_faceless,,,"~
<red><hint=hint_unholy_horde>Нечестивая Орда</hint> собирается напасть. Если они преуспеют, то этот город будет полностью уничтожен, а лорды истреблены.</red>","~
<hint=hint_unholy_horde>The Unholy Horde</hint> <red>is about to attack. If they succeed, this city will be completely destroyed and its lords exterminated.</red>
","~
<hint=hint_unholy_horde>The Unholy Horde</hint> <red>is about to attack. If they succeed, this city will be completely destroyed and its lords exterminated.</red>
","~
<hint=hint_unholy_horde>Nesvatá horda</hint> <red>brzo zaútočí. Pokud uspěje, toto město bude zcela zničeno a jeho lordi vyhlazeni.</red>","~
A <hint=hint_unholy_horde>Horda Profana</hint> <red>está prestes a atacar. Se tiverem sucesso, esta cidade será completamente destruída e seus nobres serão exterminados.</red>","~
La <hint=hint_unholy_horde>Horda Impía</hint> <red>está a punto de atacar. Si tiene éxito, esta ciudad será completamente destruida y sus señores exterminados.</red>","~
<hint=hint_unholy_horde>Horda Przeklętych</hint> <red>szykuje się do ataku. Jeśli jej się powiedzie, miasto zostanie zniszczone, a jej lordowie zginą.</red>","~
<hint=hint_unholy_horde>邪恶部族</hint><red>即将发动攻击。若他们成功，这座城市将被彻底摧毁。领主被尽数消灭。</red>","~
<hint=hint_unholy_horde>孽惡部族</hint><red>即將發起攻擊，倘若他們成功，此城邦將會完全受到摧毀且貴族會被消滅。</red>","～
<hint=hint_unholy_horde>罪深き軍団</hint><red>が襲撃しようとしています。これが成功すると、この街は完全に破壊され、領主は皆殺しになります。</red>","~
<hint=hint_unholy_horde>불경한 군단</hint><red>이 공격하려고 합니다. 공격이 성공하면 이 도시는 완전히 파괴되고 영주들은 몰살될 것입니다.</red>","~
<hint=hint_unholy_horde>Die Unheilige Horde</hint> <red>wird demnächst zum Angriff übergehen. Wenn sie Erfolg hat, wird die Stadt völlig zerstört; ihre Lords getötet.</red>","~
<hint=hint_unholy_horde>La Horde impie</hint> <red>s'apprête à attaquer. Si elle y parvient, la cité sera entièrement détruite et les nobles mourront.</red>","~
<hint=hint_unholy_horde>L'Orda profana</hint> <red>sta per attaccare. Se avrà successo, distruggerà completamente la città e massacrerà tutti i nobili.</red>","~
<hint=hint_unholy_horde>Habis Sürü</hint> <red>saldırmak üzere. Başarılı olurlarsa bu şehri yakıp asilzadelerini öldürecekler.</red>","~
<hint=hint_unholy_horde>A Szentségtelen Horda</hint> <red>támadásra készül. Ha sikerrel járnak, a várost teljesen lerombolják, a nemeseit kiirtják.</red>","~
<hint=hint_unholy_horde>Нечиста орда</hint> <red>ось-ось нападе. Якщо їм це вдасться, місто буде повністю зруйновано, а його вельмож буде знищено.</red>"
hint_global_map_danger_rebellion_heir,,,"~
<red>По причине низкой лояльности наследник {soul_uuid_heir} поднял восстание. Если он преуспеет, то текущий король {soul_uuid_king} будет свергнут и {soul_uuid_heir} займет его место.</red>","~
<red>Due to low loyalty, the heir {soul_uuid_heir} has raised a rebellion. If the rebellion succeeds, the current king {soul_uuid_king} will be overthrown, and {soul_uuid_heir} will take his place.</red>","~
<red>Due to low loyalty, the heir {soul_uuid_heir} has raised a rebellion. If the rebellion succeeds, the current king {soul_uuid_king} will be overthrown, and {soul_uuid_heir} will take his place.</red>","~
<red>Kvůli nízké věrnosti dědic {soul_uuid_heir} vyvolal vzpouru. Pokud uspěje, současný král {soul_uuid_king} bude svržen a {soul_uuid_heir} nastoupí na jeho místo.</red>","~
<red>Devido à baixa lealdade, o herdeiro {soul_uuid_heir} deu início a uma rebelião. Se ele tiver sucesso, o rei atual, {soul_uuid_king}, será derrubado e {soul_uuid_heir} assumirá seu lugar.</red>","~
<red>Debido a la baja lealtad, el heredero {soul_uuid_heir} ha iniciado una rebelión. Si tiene éxito, el monarca actual {soul_uuid_king} será derrocado y {soul_uuid_heir} tomará su lugar.</red>","~
<red>{soul_uuid_heir} wznieca bunt z powodu niskiej lojalności. Jeśli bunt się powiedzie, obecny król {soul_uuid_king} straci władzę, a jego miejsce zajmie {soul_uuid_heir}.</red>","~
<red>由于忠诚度低，王位继承人{soul_uuid_heir}发起了叛乱。若他成功，当前的君王{soul_uuid_king}会被赶下王位，{soul_uuid_heir}将取代他的位置。</red>","~
<red>由於忠誠度過低，王儲{soul_uuid_heir}已發起叛變，倘若他成功，目前的君王{soul_uuid_king}將被推翻，而{soul_uuid_heir}將取而代之。</red>","～
<red>忠誠心が低いため、相続人{soul_uuid_heir}は反乱を起こしました。これが成功すると、現在の王{soul_uuid_king}は倒され、{soul_uuid_heir}がその座に就くことになります。</red>","~
<red>낮은 충성도로 인해 후계자 {soul_uuid_heir}이(가) 반란을 일으켰습니다. 반란이 성공하면 현재의 왕 {soul_uuid_king}이(가) 타도당하고 {soul_uuid_heir}이(가) 그 자리를 차지합니다.</red>","~
<red>Aufgrund niedriger Loyalität hat der Erbe {soul_uuid_heir} eine Rebellion angezettelt. Wenn er Erfolg hat, wird der aktuelle König {soul_uuid_king} gestürzt, woraufhin {soul_uuid_heir} seinen Platz einnehmen wird.</red>","~
<red>L'héritier du trône, {soul_uuid_heir}, a une faible loyauté envers le monarque et a fomenté une révolte. Si son plan réussit, le monarque en place, {soul_uuid_king}, perdra son trône et {soul_uuid_heir} prendra sa place.</red>","~
<red>A causa della bassa lealtà, l'erede {soul_uuid_heir} ha fomentato una rivolta. Se avrà successo, {soul_uuid_heir} spodesterà {soul_uuid_king} e prenderà il suo posto.</red>","~
<red>Düşük sadakat nedeniyle vâris {soul_uuid_heir} isyan çıkardı. Başarırsa hükümdar {soul_uuid_king} tahttan indirilecek ve {soul_uuid_heir} onun yerini alacak.</red>","~
<red>Alacsony hűsége miatt {soul_uuid_heir}, az örökös lázadást szított. Ha sikerrel jár, a jelenlegi uralkodó, {soul_uuid_king} uralma megdől, és {soul_uuid_heir} veszi át a helyét.</red>","~
<red>Через низький рівень вірності спадкоємець {soul_uuid_heir} розпочав заколот. У разі успіху поточного монарха {soul_uuid_king} скинуть, і його місце займе {soul_uuid_heir}.</red>"
